group	N	total_reads_median	total_reads_IQR	classified_fraction_median	classified_fraction_IQR	bracken_assigned_reads_median	bracken_assigned_reads_IQR	observed_species_median	observed_species_IQR	shannon_median	shannon_IQR	dominant_species_abundance_median	dominant_species_abundance_IQR	QC_flagged_n	strict_QC_n
Overall	400	352176	250725–584711	0.0179325	0.0133127–0.0290973	352104	250652–583880	3	1–11	0.647651	-0–1.62356	0.418715	0.135206–0.838739	281	119
Bacterial infection	114	391042	284114–588580	0.019034	0.0133043–0.0354705	390806	283875–588232	4	2–13.5	0.757015	0.0274726–1.53908	0.57278	0.224467–0.958375	72	42
Fungal infection	78	343976	240620–502060	0.0157925	0.0122702–0.0231525	343836	240295–501764	2	0–11	0.438412	0–1.8334	0.28373	0–0.696952	59	19
Lung cancer	122	363471	269862–751063	0.0205295	0.0145815–0.036538	363376	269758–750809	3	1–12.75	0.683128	0–1.73049	0.443968	0.164501–0.839262	86	36
Pulmonary tuberculosis	86	299005	236568–571450	0.016587	0.013393–0.02287	298620	236446–571207	2	0–6	0.182941	0–1.42374	0.290174	0–0.668928	64	22
