run	pathogen_group	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5
SRR27343266	Stenotrophomonas	0.06625475859339412	-0.10473945029960598	-0.15273854770296635	0.02553789126642086	0.07734003160022297
SRR27343272	Enterobacterales	-0.22104705047085904	-0.1549402157602405	0.19441107340018596	-0.07917568703044284	-0.05968257231457178
SRR27343276	Pseudomonas	0.4686971182927176	-0.06703060815303379	0.010486313698527922	-0.15852054074300462	-0.10044946166032301
SRR27343346	Enterobacterales	-0.2137827274300562	-0.14415591467208252	0.18737724749837165	-0.03259319872966335	-0.01912178775607081
SRR27343475	Candida	0.419485533800892	0.02200593921822987	-0.09910489493877686	-0.08935459298294032	-0.28410777414083777
SRR27343490	Staphylococcus	-0.16685701543913095	0.1365281705919505	-0.04795755646577709	0.18355227465922358	-0.07363860636115102
SRR27343494	Enterobacterales	-0.20822296905046575	-0.1589835861773401	0.19516854481697393	-0.07855374722502984	-0.06236470164997636
SRR27343495	Pseudomonas	-0.03104450815251815	-0.23498252524870586	-0.012556791292703045	-0.006538210741716096	0.01584183586712053
SRR27343523	Streptococcus	-0.1480640536561037	0.19648838521747114	0.024159035986976277	-0.06680530718519397	-0.014141334594853422
SRR27343532	Acinetobacter	-0.02396745153517701	-0.1678981535055494	-0.16150040903218812	0.05001589491684021	0.07357213947822824
SRR27343566	Enterobacterales	-0.2138715997029546	-0.1843946186913126	0.21384430929452056	-0.05803115665199611	-0.03646927392368752
SRR27343719	Haemophilus	-0.03218889542879993	0.2044801226589601	0.04223976567964241	-0.11193702532821145	0.16908524242885253
SRR27343725	Staphylococcus	-0.14039373068902167	0.15436828246260076	-0.04387435882638392	0.19527411302624612	-0.0805083041548472
SRR27343734	Streptococcus	0.0014341992954960228	0.35162923950859354	-0.01833737849617608	-0.07113451064986719	-0.00879704976724189
SRR27343738	Acinetobacter	-0.04190755868282235	-0.23232505178273924	-0.158991087742434	0.032601387685516355	0.041119687905692356
SRR27343835	Streptococcus	-0.1530303622400083	0.20478728677382554	0.04834552751777378	-0.00825054679258879	-0.01642061593269687
SRR27343839	Streptococcus	-0.014019106022297665	0.2680055509757576	-0.08574806303339874	-0.07351569897425875	-0.02700490119636924
SRR27343853	Acinetobacter	-0.02766630507684133	-0.1735265823817798	-0.1727367280214996	0.02381745693725763	0.04779523091179553
SRR27343867	Pseudomonas	0.15202678678894205	-0.2049100495943378	-0.08950447500143299	-0.005482264744110926	0.04814860693096025
SRR27343868	Acinetobacter	-0.018221914675988004	-0.18777713053254996	-0.1755161669329538	0.027709664627297643	0.06724190810831111
SRR27343993	Staphylococcus	-0.08775009060806727	0.19816675465180486	-0.04444072409757274	0.19407797759356296	-0.1074335618854
SRR27344035	Haemophilus	0.08280895792973354	0.2741252553706708	-0.02708661452675575	-0.13113065007797914	0.22034132580796179
SRR27344040	Pseudomonas	0.5513279841599372	0.005078899369412766	0.37406197821804793	0.23843647714463848	0.1296539362988819
