run	pathogen_group	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5
SRR27343266	Stenotrophomonas	0.2321046403067047	0.07361106847464603	0.10604613802176238	-0.1095801732022355	0.1029529610433012
SRR27343272	Enterobacterales	0.22149179675629163	-0.19959732235077118	0.15096689806712224	0.14386016025489362	-0.15097123253902972
SRR27343276	Pseudomonas	0.07236799557999819	0.4360893990183953	0.07274303217306304	-0.14307661660299048	-0.08125900552880251
SRR27343296	Staphylococcus	-0.22456585372636975	0.34395091648282455	-0.056208156256981036	0.6737193776960809	0.2347553797225293
SRR27343346	Enterobacterales	0.23026738639889024	-0.19171893038470328	0.14034727792023427	0.13174577393086492	-0.1529932356296384
SRR27343475	Candida	0.06636629280436523	0.3796432674631488	-0.014841597320640049	-0.17602765604812415	0.04807226631266385
SRR27343490	Staphylococcus	0.23978679620295065	-0.15007723642186557	-0.13791278551997632	0.005390603615505457	0.057510376373142
SRR27343494	Enterobacterales	0.2204503580182174	-0.18684170156049365	0.15503186649986944	0.14133011053093436	-0.15355122542762448
SRR27343495	Pseudomonas	0.23952644718550348	-0.017670410789537225	0.2344060395438406	-0.0186026043897164	-0.012326918432231354
SRR27343518	Mycobacteria	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.04583618793922318	0.002442099144466135
SRR27343520	Mycobacteria	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.045836187939223484	0.002442098274845093
SRR27343522	Mycobacteria	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.045836187939220646	0.0024420988966503587
SRR27343523	Streptococcus	0.23690874628082081	-0.13133092810936364	-0.1980840696715699	0.019876137188282385	-0.026968571304962437
SRR27343532	Acinetobacter	0.2452314812582615	-0.010503022813901572	0.16802617364266342	-0.07458668997278264	0.13684192781946347
SRR27343566	Enterobacterales	0.21473890511308638	-0.19419094641471565	0.18052930356786137	0.15061509834770784	-0.16864757157470378
SRR27343601	Haemophilus	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.045836187939222915	0.002442098587813621
SRR27343719	Haemophilus	0.2094921669399844	-0.02587683752702831	-0.204466027968035	-0.01258747990396139	-0.0631518902387679
SRR27343725	Staphylococcus	0.2344861180464468	-0.12706374148752764	-0.15515213662537275	-0.006378472857190861	0.04737265192506016
SRR27343734	Streptococcus	0.18723429458260504	0.0033488313097612436	-0.3509223070177883	-0.04009538980347836	0.0013256956832423345
SRR27343738	Acinetobacter	0.228359351701088	-0.026269981586649425	0.2315389026735721	-0.04421745335914193	0.15580531626607344
SRR27343742	Mycobacteria	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.04583618793921907	0.002442098764106898
SRR27343835	Streptococcus	0.23780527182666206	-0.13676405730193447	-0.20638839940120418	0.027401844595843987	-0.050303160451275954
SRR27343839	Streptococcus	0.2137039056992992	-0.00891197068867081	-0.26707395500561987	-0.0697326454321633	0.05671103860676649
SRR27343853	Acinetobacter	0.24540720944876893	-0.014548504381994948	0.17377099624159198	-0.078862916660273	0.14686611036931083
SRR27343867	Pseudomonas	0.20191482065608973	0.1506252774230583	0.20716780165499885	-0.10851191844251233	0.030191848109095403
SRR27343868	Acinetobacter	0.2402772987019118	-0.005191661953657314	0.18794480826540125	-0.07735804234653626	0.15214217582572034
SRR27343993	Staphylococcus	0.22105995393309133	-0.0796602866819397	-0.19808684782723465	-0.0266145611607572	0.0387160496731711
SRR27344035	Haemophilus	0.1708191815255287	0.08007656397706904	-0.2726581779478604	-0.06273612060061066	-0.0019467201185743974
SRR27344040	Pseudomonas	-0.06085336733284187	0.499972858451896	-0.000364181859588761	0.030046762257692664	-0.36179686054923843
SRR27344041	Haemophilus	-0.720730199651226	-0.07685010702434092	0.00893990069164845	-0.04583618793922394	0.002442098428094672
