run	pathogen_group	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5
SRR27343266	Stenotrophomonas	-0.003804009331580731	0.12081352692287273	-0.13295626792804222	0.10287747451247282	-0.04485983129298982
SRR27343272	Enterobacterales	-0.1930695062048327	0.12796682311768823	0.19210643089313684	-0.1503163782301302	0.09000469380622987
SRR27343276	Pseudomonas	0.38197752022351567	0.11447666444234078	-0.23602104986172348	-0.08018976939517962	0.17256798435219886
SRR27343296	Staphylococcus	0.5822096257138787	-0.07417560271606657	0.6009246474548045	0.24486536145443538	0.019863237169964403
SRR27343346	Enterobacterales	-0.19217129977631284	0.1191315591717098	0.17523783445453678	-0.15213774588380807	0.03283421827493971
SRR27343475	Candida	0.33671520494356527	0.023410750979333463	-0.25268993832533976	0.04689960113348437	0.16193370760488887
SRR27343490	Staphylococcus	-0.1686837931818661	-0.14709529739203256	0.0204435515967931	0.05704328256448902	-0.15797078353682226
SRR27343494	Enterobacterales	-0.18213392933941103	0.1332183002657416	0.18652071718764845	-0.15279339510429768	0.08983257023126091
SRR27343495	Pseudomonas	-0.07667906463128894	0.23605312018964633	-0.011940913732393085	-0.011967081395482986	-0.001188091059107764
SRR27343523	Streptococcus	-0.14634958387843564	-0.2059783927376793	0.023258264999861306	-0.026606111080954207	0.06705295555342211
SRR27343532	Acinetobacter	-0.07940647825567301	0.17371975817975463	-0.07284694445506207	0.13621933573693337	-0.06359576889257247
SRR27343566	Enterobacterales	-0.18557734729128975	0.15721528576774205	0.2007309353787208	-0.16792475351299632	0.06276434882731338
SRR27343719	Haemophilus	-0.04737948793778928	-0.2025334586806392	-0.03249044020073228	-0.062388887197531794	0.0628383206749576
SRR27343725	Staphylococcus	-0.14723880670384887	-0.1618677490137513	0.002734251002278993	0.0469091042956223	-0.16844242432451198
SRR27343734	Streptococcus	-0.009087136087922526	-0.34514530622068185	-0.0732550283349847	0.0016415523661105363	0.07110958207392397
SRR27343738	Acinetobacter	-0.08320857993018298	0.2332436276565908	-0.030913734305239297	0.15500632643567452	-0.03564999020335082
SRR27343835	Streptococcus	-0.1496037268355152	-0.21508026627413962	0.03121595801285077	-0.04979412805460112	0.009315398275403642
SRR27343839	Streptococcus	-0.04135325295181685	-0.260253875266438	-0.09670253244870715	0.056570317899595525	0.0789759930259298
SRR27343853	Acinetobacter	-0.0840682127387409	0.17929832754343328	-0.07522096565558024	0.14606180163910698	-0.03124797923452452
SRR27343867	Pseudomonas	0.072239940501869	0.226821473847195	-0.1396204861460825	0.030514107875929126	-0.011575463863473372
SRR27343868	Acinetobacter	-0.07406424072371609	0.19393542842635497	-0.07435704898776273	0.15137312824525456	-0.03946073823914809
SRR27343993	Staphylococcus	-0.10113495146562825	-0.19993561292074208	-0.0304025261810495	0.038329130802283264	-0.1614729886902417
SRR27344035	Haemophilus	0.056918153666418135	-0.2600398047968221	-0.10760191974636026	-0.0013535358132691782	0.07123616135447446
SRR27344040	Pseudomonas	0.5349529622166056	0.03280071950858845	-0.0661527946715707	-0.3588387392931395	-0.27486511188816515
