Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	representative_rule
SRR27343764	SAMN39106116	SRS19982847	20220127MCX026	20220127MCX026 DNA	WGS	METAGENOMIC	SINGLE	235355	11767750	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343529	SAMN39106117	SRS19982476	20211008MCX018	20211008MCX018 DNA	WGS	METAGENOMIC	SINGLE	195103	9755150	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343528	SAMN39106118	SRS19982477	20210525MCX011	20210525MCX011 DNA	WGS	METAGENOMIC	SINGLE	153344	7667200	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343527	SAMN39106119	SRS19982478	20210531MCX004	20210531MCX004 DNA	WGS	METAGENOMIC	SINGLE	278789	13939450	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343526	SAMN39106120	SRS19982479	20210517MCX007	20210517MCX007 DNA	WGS	METAGENOMIC	SINGLE	254654	12732700	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343525	SAMN39106121	SRS19982480	20220106MCX009	20220106MCX009 DNA	WGS	METAGENOMIC	SINGLE	527790	26389500	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343522	SAMN39106122	SRS19982483	20210831MCX008	20210831MCX008 DNA	WGS	METAGENOMIC	SINGLE	276255	13812750	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343521	SAMN39106123	SRS19982484	20210309MCX010	20210309MCX010 DNA	WGS	METAGENOMIC	SINGLE	266429	13321450	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343520	SAMN39106124	SRS19982485	20210323MCX004	20210323MCX004 DNA	WGS	METAGENOMIC	SINGLE	299746	14987300	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343519	SAMN39106125	SRS19982486	20210410MCX006	20210410MCX006 DNA	WGS	METAGENOMIC	SINGLE	374362	18718100	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343518	SAMN39106126	SRS19982487	20210515MCX006	20210515MCX006 DNA	WGS	METAGENOMIC	SINGLE	631832	31591600	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343517	SAMN39106127	SRS19982488	20210604MCX007	20210604MCX007 DNA	WGS	METAGENOMIC	SINGLE	578288	28914400	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343516	SAMN39106128	SRS19982489	20210622MCX006	20210622MCX006 DNA	WGS	METAGENOMIC	SINGLE	432452	21622600	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343515	SAMN39106129	SRS19982490	20210626MCX006	20210626MCX006 DNA	WGS	METAGENOMIC	SINGLE	627552	31377600	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343514	SAMN39106130	SRS19982491	20210629MCX010	20210629MCX010 DNA	WGS	METAGENOMIC	SINGLE	338310	16915500	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343513	SAMN39106131	SRS19982492	20210828MCX008	20210828MCX008 DNA	WGS	METAGENOMIC	SINGLE	240209	12010450	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343511	SAMN39106132	SRS19982494	20210902MCX009	20210902MCX009 DNA	WGS	METAGENOMIC	SINGLE	217951	10897550	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343510	SAMN39106133	SRS19982495	20211103MCX005	20211103MCX005 DNA	WGS	METAGENOMIC	SINGLE	770800	38540000	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343509	SAMN39106134	SRS19982496	20211120MCX005	20211120MCX005 DNA	WGS	METAGENOMIC	SINGLE	283879	14193950	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343508	SAMN39106135	SRS19982497	20211123MCX011	20211123MCX011 DNA	WGS	METAGENOMIC	SINGLE	585487	29274350	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343507	SAMN39106136	SRS19982498	20211209MCX017	20211209MCX017 DNA	WGS	METAGENOMIC	SINGLE	178503	8925150	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343506	SAMN39106137	SRS19982499	20211224MCX018	20211224MCX018 DNA	WGS	METAGENOMIC	SINGLE	220366	11018300	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343505	SAMN39106138	SRS19982500	20211022MCX016	20211022MCX016 DNA	WGS	METAGENOMIC	SINGLE	245839	12291950	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343504	SAMN39106139	SRS19982501	20211127MCX011	20211127MCX011 DNA	WGS	METAGENOMIC	SINGLE	1273360	63668000	50	29.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343503	SAMN39106140	SRS19982502	20210517MCX004	20210517MCX004 DNA	WGS	METAGENOMIC	SINGLE	360364	18018200	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343502	SAMN39106141	SRS19982503	20210629MCX009	20210629MCX009 DNA	WGS	METAGENOMIC	SINGLE	301772	15088600	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343500	SAMN39106142	SRS19982505	20210719MCX006	20210719MCX006 DNA	WGS	METAGENOMIC	SINGLE	650099	32504950	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343499	SAMN39106143	SRS19982506	20210811MCX011	20210811MCX011 DNA	WGS	METAGENOMIC	SINGLE	626665	31333250	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343497	SAMN39106144	SRS19982507	20210825MCX012	20210825MCX012 DNA	WGS	METAGENOMIC	SINGLE	543543	27177150	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343333	SAMN39106145	SRS19982663	20210914MCX012	20210914MCX012 DNA	WGS	METAGENOMIC	SINGLE	282600	14130000	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343332	SAMN39106146	SRS19982664	20210916MCX005	20210916MCX005 DNA	WGS	METAGENOMIC	SINGLE	665944	33297200	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343331	SAMN39106147	SRS19982665	20210916MCX007	20210916MCX007 DNA	WGS	METAGENOMIC	SINGLE	346336	17316800	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
