Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	exclude_reasons
SRR34061028	SAMN49480653	SRS25438372	NC25-RNA-ZY5275	ZY5275-1-C628R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	551685	26987983	48	13.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061026	SAMN49480654	SRS25438374	NC26-DNA-ZY5462	ZY5462-1-C315D	WGS	METAGENOMIC	SINGLE	1954806	97740300	50	46.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061025	SAMN49480655	SRS25438375	NC26-RNA-ZY5462	ZY5462-1-C439R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	938724	46592622	49	22.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061023	SAMN49480656	SRS25438376	NC27-DNA-ZY5484	ZY5484-2-C119D	WGS	METAGENOMIC	SINGLE	992523	49626150	50	23.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061024	SAMN49480657	SRS25438377	NC27-RNA-ZY5484	ZY5484-1-C623R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	722879	36143950	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061022	SAMN49480658	SRS25438378	NC28-DNA-ZY5595	ZY5595-1-C002D	WGS	METAGENOMIC	SINGLE	140281	7014050	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061021	SAMN49480659	SRS25438379	NC28-RNA-ZY5595	ZY5595-1-C541R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	399686	19984300	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061020	SAMN49480660	SRS25438380	NC29-DNA-ZY5921	ZY5921-1-C014D	WGS	METAGENOMIC	SINGLE	149214	7460700	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061019	SAMN49480661	SRS25438381	NC29-RNA-ZY5921	ZY5921-1-C553R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	930243	44107233	47	20.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061038	SAMN49480608	SRS25438362	NC3-DNA-ZY1521	ZY1521-1-N836D	WGS	METAGENOMIC	SINGLE	232139	11606950	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
