run_accession	ngdc_biosample	submitted_sample_name	subject_id	group_raw	mapping_status	biological_grouping_eligible
DRR770755	SAMC5008604	BALF_142	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770757	SAMC5008606	BALF_144	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770758	SAMC5008607	BALF_145	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770760	SAMC5008609	BALF_147	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770761	SAMC5008610	BALF_148	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770763	SAMC5008612	BALF_150	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770768	SAMC5008617	BALF_155	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770771	SAMC5008620	BALF_158	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770773	SAMC5008622	BALF_160	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770776	SAMC5008625	BALF_163	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770783	SAMC5008632	BALF_170	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770785	SAMC5008634	BALF_172	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770787	SAMC5008636	BALF_174	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770793	SAMC5008642	BALF_180	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770794	SAMC5008643	BALF_181	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770795	SAMC5008644	BALF_182	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770796	SAMC5008645	BALF_183	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770797	SAMC5008646	BALF_184	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770801	SAMC5008650	BALF_188	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770803	SAMC5008652	BALF_190	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770804	SAMC5008653	BALF_191	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770807	SAMC5008656	BALF_194	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770808	SAMC5008657	BALF_195	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770810	SAMC5008659	BALF_197	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770812	SAMC5008661	BALF_199	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770815	SAMC5008664	BALF_202	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770823	SAMC5008672	BALF_210	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770824	SAMC5008673	BALF_211	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770826	SAMC5008675	BALF_213	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
