run_accession	experiment_accession	biosample	subject_id	sample_name	library_name	hiv_group	group_evidence	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	center_repository	host_depletion_status	repository_filename_signal	analysis_eligibility
SRR24784657	SRX20557566	SAMN35536418	UNRESOLVED	2234042152511_C1T.unhost.fq.gz	L168	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	134681147	1eca22d341c158e20e432c4dba0a7af0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/057/SRR24784657/SRR24784657.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784656	SRX20557848	SAMN35536419	UNRESOLVED	2234042152528_C1T.unhost.fq.gz	L169	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	241376571	3af3fc24fb16e6acc60309c226a3af8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/056/SRR24784656/SRR24784656.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784655	SRX20557849	SAMN35536420	UNRESOLVED	2234042152535_C1T.unhost.fq.gz	L170	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	126680103	3a7b6fcd91e5503a540d1d8f44690e27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/055/SRR24784655/SRR24784655.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784653	SRX20557851	SAMN35536421	UNRESOLVED	2234042152559_C1T.unhost.fq.gz	L171	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	95644001	0eba4958835a8922932f8518afb2a1f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/053/SRR24784653/SRR24784653.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784652	SRX20557852	SAMN35536422	UNRESOLVED	2234042152771_C1D.unhost.fq.gz	L172	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	163275202	2aaedc55d3094d7ed66e5b4b9df89394	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24784652/SRR24784652.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784651	SRX20557853	SAMN35536423	UNRESOLVED	2234042152788_C1D.unhost.fq.gz	L173	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	38411663	2f1ff1cdc6ec20ee5f0dfff0d1255e61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24784651/SRR24784651.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784650	SRX20557854	SAMN35536424	UNRESOLVED	2234042152870_C1D.unhost.fq.gz	L174	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	17772396	b9af525c9e88447e8062b0312880117a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/050/SRR24784650/SRR24784650.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784649	SRX20557855	SAMN35536425	UNRESOLVED	2234042380013_C1T.unhost.fq.gz	L175	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	64677982	a5158c0fd0843b2a5bf56c5bec0825f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24784649/SRR24784649.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784648	SRX20557856	SAMN35536426	UNRESOLVED	2234042380068_C1T.unhost.fq.gz	L176	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	28067744	033928cd41f0230eb8cad114893b5487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24784648/SRR24784648.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784647	SRX20557857	SAMN35536427	UNRESOLVED	2234042380075_C1T.unhost.fq.gz	L177	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	39163339	2019ccbdc97594d98692864a8f8e677b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/047/SRR24784647/SRR24784647.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
