pathogen_group	second_stage_priority	second_stage_reason	run	batch	classified_pct	total_reads	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	top_species	top_species_fraction
Staphylococcus	1	high_pathogen_fraction	SRR27343490	20260724T170118Z-prjna1056765-production-descriptive-batch-020	9.4571	4985677	Staphylococcus aureus	0.94962	446805.0	Staphylococcus aureus;Rothia mucilaginosa;Prevotella melaninogenica;Streptococcus salivarius;Haemophilus parainfluenzae	Staphylococcus aureus	0.94962
Enterobacterales	1	high_pathogen_fraction	SRR27343272	20260724T170118Z-prjna1056765-production-descriptive-batch-019	10.4273	1966006	Klebsiella pneumoniae	0.93081	190556.0	Klebsiella pneumoniae;Klebsiella aerogenes;Streptococcus oralis;Klebsiella variicola;Klebsiella quasipneumoniae	Klebsiella pneumoniae	0.93081
Enterobacterales	1	high_pathogen_fraction	SRR27343566	20260724T170118Z-prjna1056765-production-descriptive-batch-019	7.6292	1844926	Escherichia coli	0.92124	129498.0	Escherichia coli;Klebsiella pneumoniae	Escherichia coli	0.92124
Staphylococcus	1	high_pathogen_fraction	SRR27343725	20260724T170118Z-prjna1056765-production-descriptive-batch-017	5.9133	714512	Staphylococcus aureus	0.91836	38718.0	Staphylococcus aureus;Haemophilus parainfluenzae	Staphylococcus aureus	0.91836
Pseudomonas	1	high_pathogen_fraction	SRR27343495	20260724T170118Z-prjna1056765-production-descriptive-batch-020	9.9619	5878104	Pseudomonas aeruginosa	0.91284	533677.0	Pseudomonas aeruginosa;Pseudomonas sp. FDAARGOS_761;Rothia mucilaginosa;Streptococcus mitis;Streptococcus pneumoniae	Pseudomonas aeruginosa	0.91284
Pseudomonas	1	high_pathogen_fraction	SRR27343276	20260724T170118Z-prjna1056765-production-descriptive-batch-008	5.7494	329376	Pseudomonas aeruginosa	0.91283	17226.0	Pseudomonas aeruginosa;Pseudomonas putida	Pseudomonas aeruginosa	0.91283
Stenotrophomonas	1	high_pathogen_fraction	SRR27343266	20260724T170118Z-prjna1056765-production-descriptive-batch-018	6.7189	1185032	Stenotrophomonas maltophilia	0.91228	72515.0	Stenotrophomonas maltophilia;Stenotrophomonas sp. PAMC25021;Stenotrophomonas sp. pho;Stenotrophomonas sp. SAU14A_NAIMI4_8;Stenotrophomonas sp. ZAC14D2_NAIMI4_7	Stenotrophomonas maltophilia	0.91228
Pseudomonas	1	high_pathogen_fraction	SRR27344040	20260724T170118Z-prjna1056765-production-descriptive-batch-008	5.242	268773	Pseudomonas aeruginosa	0.87347	12046.0	Pseudomonas aeruginosa;Pseudomonas putida;Rothia mucilaginosa	Pseudomonas aeruginosa	0.87347
Pseudomonas	1	high_pathogen_fraction	SRR27343867	20260724T170118Z-prjna1056765-production-descriptive-batch-014	4.7008	450392	Pseudomonas aeruginosa	0.87305	18341.0	Pseudomonas aeruginosa;Prevotella melaninogenica;Prevotella histicola;Prevotella jejuni;Rothia mucilaginosa	Pseudomonas aeruginosa	0.87305
Acinetobacter	1	high_pathogen_fraction	SRR27343532	20260724T170118Z-prjna1056765-production-descriptive-batch-018	3.9517	1081041	Acinetobacter baumannii	0.85917	36606.0	Acinetobacter baumannii;Enterococcus faecium	Acinetobacter baumannii	0.85917
Acinetobacter	1	high_pathogen_fraction	SRR27343868	20260724T170118Z-prjna1056765-production-descriptive-batch-014	4.4782	455408	Acinetobacter baumannii	0.80919	16454.0	Acinetobacter baumannii;Acinetobacter lwoffii	Acinetobacter baumannii	0.80919
Candida	1	high_pathogen_fraction	SRR27343475	20260724T170118Z-prjna1056765-production-descriptive-batch-017	6.4664	755148	Candida albicans	0.78161	38116.0	Candida albicans;Candida dubliniensis	Candida albicans	0.78161
Acinetobacter	1	high_pathogen_fraction	SRR27343853	20260724T170118Z-prjna1056765-production-descriptive-batch-017	3.8943	904111	Acinetobacter baumannii	0.75056	26352.0	Acinetobacter baumannii;Streptococcus pneumoniae;Acinetobacter pittii	Acinetobacter baumannii	0.75056
Acinetobacter	1	high_pathogen_fraction	SRR27343738	20260724T170118Z-prjna1056765-production-descriptive-batch-015	5.0663	656518	Acinetobacter baumannii	0.68751	22802.0	Acinetobacter baumannii;Klebsiella pneumoniae;Acinetobacter lwoffii;Stenotrophomonas maltophilia	Acinetobacter baumannii	0.68751
Haemophilus	1	high_pathogen_fraction	SRR27344035	20260724T170118Z-prjna1056765-production-descriptive-batch-012	2.1225	335884	Haemophilus influenzae	0.68527	4851.0	Haemophilus influenzae;Haemophilus haemolyticus	Haemophilus influenzae	0.68527
Enterobacterales	1	high_pathogen_fraction	SRR27343494	20260724T170118Z-prjna1056765-production-descriptive-batch-018	7.7738	998992	Klebsiella pneumoniae	0.63548	49276.0	Klebsiella pneumoniae;Klebsiella virus PMBT1;Klebsiella quasipneumoniae;Klebsiella virus Miro	Klebsiella pneumoniae	0.63548
Streptococcus	1	high_pathogen_fraction	SRR27343523	20260724T170118Z-prjna1056765-production-descriptive-batch-014	5.308	516671	Streptococcus pneumoniae	0.60404	16517.0	Streptococcus pneumoniae;Haemophilus influenzae;Streptococcus mitis	Streptococcus pneumoniae	0.60404
Haemophilus	1	high_pathogen_fraction	SRR27343719	20260724T170118Z-prjna1056765-production-descriptive-batch-012	3.4208	403293	Haemophilus influenzae	0.54664	7449.0	Haemophilus influenzae;Rothia mucilaginosa;Haemophilus parainfluenzae	Haemophilus influenzae	0.54664
Enterobacterales	1	high_pathogen_fraction	SRR27343346	20260724T170118Z-prjna1056765-production-descriptive-batch-020	7.5459	2545835	Escherichia coli	0.4975	95251.0	Escherichia coli;Haemophilus parainfluenzae;Stenotrophomonas maltophilia;Staphylococcus epidermidis;Citrobacter sp. CRE-46	Escherichia coli	0.4975
Staphylococcus	1	high_pathogen_fraction	SRR27343993	20260724T170118Z-prjna1056765-production-descriptive-batch-016	4.4119	664745	Staphylococcus aureus	0.46253	13382.0	Staphylococcus aureus;Prevotella jejuni;Prevotella melaninogenica;Rothia mucilaginosa;Streptococcus mitis	Staphylococcus aureus	0.46253
Staphylococcus	1	high_pathogen_fraction	SRR27343296	20260724T170118Z-prjna1056765-production-descriptive-batch-010	1.859	368961	Staphylococcus haemolyticus	0.45383	3067.0	Staphylococcus haemolyticus;Enterococcus faecium	Staphylococcus haemolyticus	0.45383
Haemophilus	1	high_pathogen_fraction	SRR27343601	20260724T170118Z-prjna1056765-production-descriptive-batch-012	1.3016	357014	Haemophilus influenzae	0.41463	1899.0	Haemophilus influenzae	Haemophilus influenzae	0.41463
Haemophilus	1	high_pathogen_fraction	SRR27344041	20260724T170118Z-prjna1056765-production-descriptive-batch-012	1.2542	335357	Haemophilus influenzae	0.40441	1686.0	Haemophilus influenzae	Haemophilus influenzae	0.40441
Streptococcus	1	high_pathogen_fraction	SRR27343839	20260724T170118Z-prjna1056765-production-descriptive-batch-013	5.2089	469700	Streptococcus mitis	0.35363	8601.0	Streptococcus mitis;Rothia mucilaginosa;Streptococcus pneumoniae;Streptococcus gwangjuense;Streptococcus oralis	Streptococcus mitis	0.35363
Streptococcus	1	high_pathogen_fraction	SRR27343734	20260724T170118Z-prjna1056765-production-descriptive-batch-014	3.0508	508725	Streptococcus pneumoniae	0.23604	3613.0	Streptococcus pneumoniae;Streptococcus mitis;Streptococcus pseudopneumoniae;Streptococcus oralis;Streptococcus gwangjuense	Streptococcus pneumoniae	0.23604
Mycobacteria	1	high_pathogen_fraction	SRR27343742	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.6374	263953	Mycobacterium tuberculosis	0.23003	979.0	Mycobacterium tuberculosis	Homo sapiens	0.43633
Mycobacteria	1	high_pathogen_fraction	SRR27343518	20260724T170118Z-prjna1056765-production-descriptive-batch-016	1.1077	631832	Mycobacterium tuberculosis	0.22821	1566.0	Mycobacterium tuberculosis;Prevotella melaninogenica;Prevotella intermedia;Prevotella oris;Prevotella jejuni	Homo sapiens	0.35048
Mycobacteria	1	high_pathogen_fraction	SRR27343522	20260724T170118Z-prjna1056765-production-descriptive-batch-007	2.1104	276255	Mycobacterium tuberculosis	0.22456	1304.0	Mycobacterium tuberculosis;Candida albicans;Prevotella melaninogenica	Homo sapiens	0.30222
Mycobacteria	1	high_pathogen_fraction	SRR27343520	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.8356	299746	Mycobacterium tuberculosis	0.18737	991.0	Mycobacterium tuberculosis;Rothia mucilaginosa;Streptococcus ilei;Streptococcus oralis;Streptococcus mitis	Toxoplasma gondii	0.35678
Streptococcus	1	high_pathogen_fraction	SRR27343835	20260724T170118Z-prjna1056765-production-descriptive-batch-019	4.1902	1486054	Streptococcus intermedius	0.18214	11241.0	Streptococcus intermedius;Prevotella denticola;Streptococcus mitis;Rothia mucilaginosa;Streptococcus pneumoniae	Streptococcus intermedius	0.18214
