run	SRR27343266	SRR27343272	SRR27343276	SRR27343296	SRR27343346	SRR27343475	SRR27343490	SRR27343494	SRR27343495	SRR27343518	SRR27343520	SRR27343522	SRR27343523	SRR27343532	SRR27343566	SRR27343601	SRR27343719	SRR27343725	SRR27343734	SRR27343738	SRR27343742	SRR27343835	SRR27343839	SRR27343853	SRR27343867	SRR27343868	SRR27343993	SRR27344035	SRR27344040	SRR27344041
SRR27343266	0.0	0.9940097603904156	0.9647571805744459	0.9618066323213125	0.9716263114204846	0.9618178999844991	0.9944795307601146	0.9667276709369655	0.994059554466585	0.9618077784891165	0.9617815904984508	0.9618087335764051	0.9618171362852214	0.961818281822682	0.9770989694536254	0.9618144630971491	0.9618144630971491	0.962608878266348	0.9618094976118432	0.9568459003605342	0.9618093066058497	0.9618218653860584	0.9618045308349882	0.9644175092256458	0.9647950713099834	0.962507188039103	0.9617953580059139	0.9618133173305329	0.9626745878152332	0.9618138902224356
SRR27343272	0.9940097603904156	0.0	0.9940096405784347	0.993767943421329	0.9919491144025843	0.994009790342662	0.9958997334826764	0.35634781739086957	0.9946897079339364	0.9940082024607382	0.9908309685039765	0.9940083522968816	0.9938296606313348	0.9940098502462561	0.9885497137428436	0.9940092511563945	0.9939592449056133	0.993959939599396	0.9906576176925116	0.9001725129384703	0.9940084421949708	0.9906057256051504	0.9905763719031827	0.9944897244862243	0.9949993999279914	0.9940096705318793	0.9906041275797374	0.994009071406068	0.9940092511563946	0.9940091612825797
SRR27343276	0.9647571805744459	0.9940096405784347	0.0	0.941328291467843	0.9789068360254037	0.9584468835162637	0.9946794413413409	0.968467162044584	0.08098269335586882	0.941330052217754	0.9412898220676194	0.9413315194286199	0.9413444277206334	0.9413461875021876	0.9770985114032412	0.9413403211529903	0.9413403211529903	0.9532076603830192	0.9413326931444777	0.9413432544742646	0.941332399719916	0.9509757329878289	0.9413250631518395	0.9437449370443339	0.06580052808449352	0.9418344742750562	0.9413109717962446	0.9413385610193988	0.05796456415308526	0.9413394410993979
SRR27343296	0.9618066323213125	0.993767943421329	0.941328291467843	0.0	0.973098701454611	0.9388088890667281	0.9906564961860698	0.9667180184866553	0.9839741505649563	0.5630534626121935	0.5604407707981837	0.5607530405287093	0.839401381504249	0.8657750346366032	0.9770923259291863	0.560818956245967	0.62384637317233	0.9221650928297055	0.7387323837968452	0.893318927787198	0.5607596329908047	0.9379525336882716	0.8934459449317276	0.7836221039574247	0.8899026581430015	0.8277371240502784	0.8994359726344132	0.7135367946094934	0.8847998879512589	0.560812365564504
SRR27343346	0.9716263114204846	0.9919491144025843	0.9789068360254037	0.973098701454611	0.0	0.9731566445805725	0.9824172746775751	0.9804672654171583	0.9808972300983643	0.9730594932023489	0.9697574893009986	0.9730601669609408	0.9774767341264483	0.9731569130450001	0.4686588957730139	0.9731542281590542	0.97211400451097	0.9785178517851785	0.968769225382757	0.968124740582196	0.9730905817035962	0.9052083385445068	0.9716565368550062	0.9813073830336247	0.9810160133628062	0.9793470053157707	0.9509749470871673	0.9731534225885341	0.9795656066054201	0.9731538253798373
SRR27343475	0.9618178999844991	0.994009790342662	0.9584468835162637	0.9388088890667281	0.9731566445805725	0.0	0.9906592527402192	0.9667278373094251	0.9451161581310691	0.7889235109059354	0.8882482482482483	0.7792459813345871	0.9476763373436141	0.9408776351054042	0.9770990839633585	0.9365811213569899	0.9122777188806434	0.9496987424685618	0.7864823502345634	0.8413157184146574	0.8667733626747356	0.8872069872840235	0.9389355742296919	0.9515068479451164	0.9518835042730769	0.9495964717530228	0.7864032981107909	0.9229268975725873	0.9497629668153541	0.9280788522220944
SRR27343490	0.9944795307601146	0.9958997334826764	0.9946794413413409	0.9906564961860698	0.9824172746775751	0.9906592527402192	0.0	0.9962396427660628	0.9783578357835784	0.983754395266367	0.9752745327687518	0.9864256562099872	0.9931793179317931	0.9906593461542308	0.997139799785985	0.9906584119300281	0.9869377794225017	0.0730290165959128	0.9701310393117936	0.9904988598631835	0.9904971016159929	0.9603901950975487	0.9804115769781006	0.9970097159230127	0.9883380757825041	0.9951695169516952	0.49166941851040197	0.9906581316263252	0.9946090835442025	0.9906582717802793
SRR27343494	0.9667276709369655	0.35634781739086957	0.968467162044584	0.9667180184866553	0.9804672654171583	0.9667278373094251	0.9962396427660628	0.0	0.995819644669797	0.966719017275701	0.9666961966395892	0.9667198495541139	0.9667271718096039	0.9667281700493527	0.9729685132682298	0.9667248423505644	0.9667248423505643	0.9667286691467659	0.9667205153468739	0.8728866530985754	0.9667203489011813	0.9667138562202668	0.9667161872176954	0.9675674053924314	0.9679451917787668	0.9667271718096038	0.9667081938669828	0.9667238439111235	0.9667248423505643	0.9667243431383334
SRR27343495	0.994059554466585	0.9946897079339364	0.08098269335586882	0.9839741505649563	0.9808972300983643	0.9451161581310691	0.9783578357835784	0.995819644669797	0.0	0.941760489764071	0.9380067669022403	0.9439226160109634	0.9914392295306578	0.9860291617497049	0.9967198031881912	0.9815370459273485	0.9549927988478156	0.9940397317879305	0.9362715187404347	0.9451139625358789	0.9451038056226586	0.9223719622615081	0.9782408611616878	0.9954696149172679	0.11379263785886813	0.9947495274574712	0.9217383473092241	0.9674538162250828	0.11703872619619138	0.9730352811742055
SRR27343518	0.9618077784891165	0.9940082024607382	0.941330052217754	0.5630534626121935	0.9730594932023489	0.7889235109059354	0.983754395266367	0.966719017275701	0.941760489764071	0.0	0.2717587748501855	0.09852968397460592	0.8394062010773609	0.8668693951655254	0.9770930133690775	0.5372926035044192	0.5996178452273171	0.9221674285542807	0.5830469301076076	0.7957875045641203	0.12873951934044378	0.8288742225535769	0.9012343208233476	0.7836285974371542	0.8841336534613846	0.8310233928366002	0.7076654372206848	0.6976484770875331	0.8848033453548686	0.46202405010104247
SRR27343520	0.9617815904984508	0.9908309685039765	0.9412898220676194	0.5604407707981837	0.9697574893009986	0.8882482482482483	0.9752745327687518	0.9666961966395892	0.9380067669022403	0.2717587748501855	0.0	0.21196283391405346	0.8392960820036438	0.866778110329226	0.9770773065334681	0.42547376640538187	0.5534132204102472	0.9221140612096795	0.6396703978854201	0.8427264354929126	0.25425646416860653	0.7790863025496204	0.8354778951584639	0.7834802324359225	0.8841943508706946	0.8309075256761898	0.7919792470027344	0.6974411340701585	0.8839935529727403	0.46697100295826893
SRR27343522	0.9618087335764051	0.9940083522968816	0.9413315194286199	0.5607530405287093	0.9730601669609408	0.7792459813345871	0.9864256562099872	0.9667198495541139	0.9439226160109634	0.09852968397460592	0.21196283391405346	0.0	0.839410217167322	0.8668727243628217	0.9770935862041371	0.4715792000960365	0.5564114363458114	0.9221693748843444	0.5790253029044813	0.7957926115618154	0.15294376603951032	0.8754915990353151	0.8990353826448927	0.7836340083725537	0.8856771289233463	0.8310276185617541	0.7370686203859396	0.6976560389759802	0.8848062263660191	0.4250128800876346
SRR27343523	0.9618171362852214	0.9938296606313348	0.9413444277206334	0.839401381504249	0.9774767341264483	0.9476763373436141	0.9931793179317931	0.9667271718096039	0.9914392295306578	0.8394062010773609	0.8392960820036438	0.839410217167322	0.0	0.8949536972218334	0.977098625917555	0.668927028324532	0.6689270283245319	0.9221864983924276	0.6059957387642416	0.9035693926331897	0.8394126267248839	0.8937979610008905	0.7652614097921128	0.8742593120415235	0.8907030589741409	0.8525267274054665	0.9021153961614665	0.6689170942479071	0.8984937590014402	0.6657014977621084
SRR27343532	0.961818281822682	0.9940098502462561	0.9413461875021876	0.8657750346366032	0.9731569130450001	0.9408776351054042	0.9906593461542308	0.9667281700493527	0.9860291617497049	0.8668693951655254	0.866778110329226	0.8668727243628217	0.8949536972218334	0.0	0.9770993129793893	0.8668926960504866	0.8668926960504866	0.929088936334045	0.8668753876007763	0.208956716537323	0.8668747218012773	0.940022410308742	0.9001710667160192	0.11373125521903701	0.8983872984123015	0.059753585215112884	0.9015179563124768	0.8668887021923507	0.884835028553712	0.8668906991513771
SRR27343566	0.9770989694536254	0.9885497137428436	0.9770985114032412	0.9770923259291863	0.4686588957730139	0.9770990839633585	0.997139799785985	0.9729685132682298	0.9967198031881912	0.9770930133690775	0.9770773065334681	0.9770935862041371	0.977098625917555	0.9770993129793893	0.0	0.9770970226129396	0.9770970226129396	0.9770996564948474	0.9770940444515573	0.9718977518201456	0.9770939298914212	0.97708946115213	0.9770910655155511	0.9770987404307238	0.9774171771471435	0.977098625917555	0.9770855639052604	0.9770963354136661	0.9770970226129396	0.9770966790184576
SRR27343601	0.9618144630971491	0.9940092511563945	0.9413403211529903	0.560818956245967	0.9731542281590542	0.9365811213569899	0.9906584119300281	0.9667248423505644	0.9815370459273485	0.5372926035044192	0.42547376640538187	0.4715792000960365	0.668927028324532	0.8668926960504866	0.9770970226129396	0.0	0.15481560758974564	0.9221810508208443	0.7365451562562523	0.8911003980716529	0.5096010043665937	0.9340330585127671	0.9012516132905123	0.783666468302587	0.889925233177465	0.831052968474956	0.8972149669258559	0.28537419729129576	0.8848235094071636	0.07848422863601585
SRR27343719	0.9618144630971491	0.9939592449056133	0.9413403211529903	0.62384637317233	0.97211400451097	0.9122777188806434	0.9869377794225017	0.9667248423505643	0.9549927988478156	0.5996178452273171	0.5534132204102472	0.5564114363458114	0.6689270283245319	0.8668926960504866	0.9770970226129396	0.15481560758974564	0.0	0.9212009381078825	0.709555439958385	0.8667960232841911	0.5719237521695419	0.9059973585207717	0.8985702994467288	0.8074301516735094	0.8879947988297368	0.831052968474956	0.8691744973830896	0.14492768119711125	0.8840933414685378	0.15883391430900567
SRR27343725	0.962608878266348	0.993959939599396	0.9532076603830192	0.9221650928297055	0.9785178517851785	0.9496987424685618	0.0730290165959128	0.9667286691467659	0.9940397317879305	0.9221674285542807	0.9221140612096795	0.9221693748843444	0.9221864983924276	0.929088936334045	0.9770996564948474	0.9221810508208443	0.9212009381078825	0.0	0.9221709318783102	0.9377059508868076	0.922170542635659	0.9494875219472665	0.9386970113792672	0.9262370494819794	0.9237916170778786	0.9221864983924277	0.4679928155815827	0.9221787159138075	0.9306120203823438	0.92217988338484
SRR27343734	0.9618094976118432	0.9906576176925116	0.9413326931444777	0.7387323837968452	0.968769225382757	0.7864823502345634	0.9701310393117936	0.9667205153468739	0.9362715187404347	0.5830469301076076	0.6396703978854201	0.5790253029044813	0.6059957387642416	0.8668753876007763	0.9770940444515573	0.7365451562562523	0.709555439958385	0.9221709318783102	0.0	0.7957966969760626	0.6666950140319458	0.6836617265913479	0.4661890372030659	0.8017134883441781	0.8821581661489829	0.831030998989707	0.677652781391997	0.7228819239503407	0.8840782681765436	0.7280380142553458
SRR27343738	0.9568459003605342	0.9001725129384703	0.9413432544742646	0.893318927787198	0.968124740582196	0.8413157184146574	0.9904988598631835	0.8728866530985754	0.9451139625358789	0.7957875045641203	0.8427264354929126	0.7957926115618154	0.9035693926331897	0.208956716537323	0.9718977518201456	0.8911003980716529	0.8667960232841911	0.9377059508868076	0.7957966969760626	0.0	0.8207035216093069	0.8797486718226295	0.9012565528832687	0.21956805464573784	0.9070037256519891	0.20769284621308348	0.8058479766241043	0.877444263295292	0.9042827708987617	0.8825971064357551
SRR27343742	0.9618093066058497	0.9940084421949708	0.941332399719916	0.5607596329908047	0.9730905817035962	0.8667733626747356	0.9904971016159929	0.9667203489011813	0.9451038056226586	0.12873951934044378	0.25425646416860653	0.15294376603951032	0.8394126267248839	0.8668747218012773	0.9770939298914212	0.5096010043665937	0.5719237521695419	0.922170542635659	0.6666950140319458	0.8207035216093069	0.0	0.8797264098548491	0.9012382739212007	0.7836372548038931	0.8899103677323836	0.8310301538953991	0.827360666976935	0.6976605759274913	0.8848079549035398	0.43433504731798084
SRR27343835	0.9618218653860584	0.9906057256051504	0.9509757329878289	0.9379525336882716	0.9052083385445068	0.8872069872840235	0.9603901950975487	0.9667138562202668	0.9223719622615081	0.8288742225535769	0.7790863025496204	0.8754915990353151	0.8937979610008905	0.940022410308742	0.97708946115213	0.9340330585127671	0.9059973585207717	0.9494875219472665	0.6836617265913479	0.8797486718226295	0.8797264098548491	0.0	0.6889549430533038	0.9307864314192383	0.9421378865270225	0.9487448849936468	0.6849560534166217	0.9203730200818483	0.9481809813495558	0.9255271781274232
SRR27343839	0.9618045308349882	0.9905763719031827	0.9413250631518395	0.8934459449317276	0.9716565368550062	0.9389355742296919	0.9804115769781006	0.9667161872176954	0.9782408611616878	0.9012343208233476	0.8354778951584639	0.8990353826448927	0.7652614097921128	0.9001710667160192	0.9770910655155511	0.9012516132905123	0.8985702994467288	0.9386970113792672	0.4661890372030659	0.9012565528832687	0.9012382739212007	0.6889549430533038	0.0	0.8917450742057954	0.9089058193223712	0.909702074871446	0.8397213241108699	0.9012486492976348	0.9091354763834278	0.9012501313163147
SRR27343853	0.9644175092256458	0.9944897244862243	0.9437449370443339	0.7836221039574247	0.9813073830336247	0.9515068479451164	0.9970097159230127	0.9675674053924314	0.9954696149172679	0.7836285974371542	0.7834802324359225	0.7836340083725537	0.8742593120415235	0.11373125521903701	0.9770987404307238	0.783666468302587	0.8074301516735094	0.9262370494819794	0.8017134883441781	0.21956805464573784	0.7836372548038931	0.9307864314192383	0.8917450742057954	0.0	0.8937240586087913	0.10883425091132745	0.9059483961995107	0.8158559333476694	0.8865724187249023	0.783663222747867
SRR27343867	0.9647950713099834	0.9949993999279914	0.06580052808449352	0.8899026581430015	0.9810160133628062	0.9518835042730769	0.9883380757825041	0.9679451917787668	0.11379263785886813	0.8841336534613846	0.8841943508706946	0.8856771289233463	0.8907030589741409	0.8983872984123015	0.9774171771471435	0.889925233177465	0.8879947988297368	0.9237916170778786	0.8821581661489829	0.9070037256519891	0.8899103677323836	0.9421378865270225	0.9089058193223712	0.8937240586087913	0.0	0.8899329396056389	0.9009682019464111	0.8899219300921736	0.021899927483683832	0.8899235816595983
SRR27343868	0.962507188039103	0.9940096705318793	0.9418344742750562	0.8277371240502784	0.9793470053157707	0.9495964717530228	0.9951695169516952	0.9667271718096038	0.9947495274574712	0.8310233928366002	0.8309075256761898	0.8310276185617541	0.8525267274054665	0.059753585215112884	0.977098625917555	0.831052968474956	0.831052968474956	0.9221864983924277	0.831030998989707	0.20769284621308348	0.8310301538953991	0.9487448849936468	0.909702074871446	0.10883425091132745	0.8899329396056389	0.0	0.9102407589008745	0.8310478991008292	0.8848315730516882	0.8310504338259196
