name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arabidopsis thaliana	3702	S	76	4	80	0.86022
Benincasa hispida	102211	S	12	0	12	0.12903
