run_accession	cohort	sample_role	clinical_group_if_verified	clinical_group_verified	expected_layout	expected_read_length	compressed_bytes	checksum_status	host_status	installed_Bracken_length_match	selection_reason
CRR2423962	PRJCA046985/CRA034880	technical_50nt_architecture	Drug_Sensitive	YES	SINGLE_FILE; pairing undeclared	50	6450611	NO_CRYPTOGRAPHIC_CHECKSUM_PUBLISHED	HOST_DEPLETED	CONDITIONAL_ON_FASTQ_CONFIRMATION	Within Drug_Sensitive/50-nt stratum median compressed-size representative; no microbial result used
CRR2423909	PRJCA046985/CRA034880	technical_75nt_architecture	Drug_Resistance	YES	SINGLE_FILE; pairing undeclared	75	4075644	NO_CRYPTOGRAPHIC_CHECKSUM_PUBLISHED	HOST_DEPLETED	CONDITIONAL_ON_FASTQ_CONFIRMATION	Within Drug_Resistance/75-nt stratum median compressed-size representative; no microbial result used
