	observed_features
CH1	46
CH10	50
CH11	55
CH12	43
CH13	66
CH14	62
CH15	91
CH16	73
CH17	57
CH18	120
CH19	60
CH2	75
CH20	95
CH21	34
CH22	54
CH23	63
CH3	88
CH4	49
CH5	44
CH6	48
CH7	75
CH8	31
CH9	52
CP1	126
CP10	158
CP11	75
CP12	117
CP13	105
CP14	121
CP15	149
CP16	52
CP17	120
CP18	138
CP19	84
CP2	164
CP20	168
CP21	118
CP22	67
CP23	98
CP24	76
CP25	98
CP3	114
CP4	153
CP5	109
CP6	88
CP7	139
CP8	119
CP9	101
