# Constructed from biom file
#OTU ID	CH1	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH18	CH19	CH2	CH20	CH21	CH22	CH23	CH3	CH4	CH5	CH6	CH7	CH8	CH9	CP1	CP10	CP11	CP12	CP13	CP14	CP15	CP16	CP17	CP18	CP19	CP2	CP20	CP21	CP22	CP23	CP24	CP25	CP3	CP4	CP5	CP6	CP7	CP8	CP9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.629359095193214	0.5811597215005716	0.30133297727930214	0.34352120859965135	0.39948999867532126	0.3100969925336683	0.30645000746528644	0.4580311841160253	0.4062947067238913	0.11089073205914173	0.5095308057776337	0.5640466531440163	0.32073287953390744	0.029429052862572986	0.7302610315785472	0.28507175392121364	0.46189052867550906	0.5466540458365603	0.5398220244716352	0.6542097799254163	0.672700559960082	0.8690365740514674	0.5239316410554364	0.21717699775952204	0.23974322044360313	0.4837784153608475	0.22745343444010896	0.5156233199286037	0.37457886676875957	0.1712193231196067	0.6740365423000153	0.28927961418667736	0.04536126097535174	0.31931795386158474	0.2118510532426605	0.15432877799012007	0.3447980368480505	0.45906753711941767	0.21055017281432375	0.35120269037847696	0.10821683097017705	0.17732852798738596	0.26429999048253544	0.2657771366750811	0.3872558690076938	0.2678638704006028	0.3085099315751013	0.3440064576886856
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.13849617761022096	0.09685129377532994	0.13821572423615283	0.22891342242882046	0.0	0.1146116809713209	0.23806798387498135	0.10288904849060539	0.1861985375933874	0.07504507753335737	0.13783892079604648	0.057682555780933065	0.24450242266120015	0.06177749911830401	0.0005323295119679082	0.19243010424806084	0.17214645992901176	0.1997246364340418	0.0957174638487208	0.17907978360207993	0.022786494428119974	0.05781532301381903	0.056177749283753735	0.06845904904157331	0.07547014526151187	0.16608816034991272	0.10417433556651697	0.11733081009010558	0.038642164369576314	0.13998653583304432	0.13357899585444497	0.10017080277303325	0.08316936422299799	0.08698094282848545	0.11502736772267375	0.20102405076984098	0.08384294784403848	0.1570088778477478	0.07439514986684798	0.05796853625170999	0.08296292617516327	0.07607838720576642	0.0738555248881698	0.06040389469888208	0.07588610508318537	0.06555318347356524	0.03471068889922275	0.005448674828467644
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	0.0	0.1698534760469708	0.0	0.0	0.0	0.2507850115135022	0.0	0.0	0.0	0.03351965380454382	0.0	0.0012170385395537525	0.020185573886262433	0.7083545593479368	0.00019011768284568148	0.0	0.0	0.0	0.01796440489432703	0.0	0.0	0.0	0.0	0.0004978839930296241	0.0	0.017435444714191128	0.0	0.01038687340057203	0.0	0.0	0.0	0.0	0.12360097323600973	0.0	0.00045612871122905957	0.0020913712905203186	0.027655513574572507	0.0	0.18618618618618618	0.02074783401732786	0.045268307218594026	0.01903367496339678	0.00034897370007296724	0.05851063829787234	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.0071735260236674	0.005507637950743011	0.15486125019471705	0.0641719930273097	0.04904623128891244	0.06855767217919197	0.03884437366246952	0.04376433519449528	0.05400572246065808	0.061053011179228275	0.01759239825220859	0.006896551724137931	0.006708907938874394	0.007269093616521023	0.04564725565124812	0.05885155609765394	0.03848309359237811	0.04566445802139804	0.062235817575083424	0.010058301381375073	0.02098464267893774	0.015747839249963376	0.010037465189429608	0.01697784416231018	0.008065511707337146	0.013422684135551052	0.00997570492527424	0.016193200146233416	0.006636038795303726	0.005426467288194374	0.0075234147090434515	0.03365819350949462	0.08602560033851687	0.05600802407221665	0.003441698457455631	0.053438142285364004	0.04185330892377206	0.023783388218075376	0.030766615672276048	0.007039443684450524	0.025229073030220258	0.010051807635995044	0.00701119888328416	0.013162639740353407	0.008548694680081542	0.011992967474569885	0.004218428220288314	0.0011435490380734563
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group;s__	0.04207246832129019	0.006183102982437909	0.003983354474041436	0.08920395119116793	0.05918002384421778	0.022398995185262716	0.0004976857612103717	0.019090424669276927	0.04184549356223176	0.0032455824017309774	0.049705203304775895	0.0004563894523326572	0.0031582870706397003	0.005270582703083977	0.05505808095210936	0.011796992624497342	0.0	0.010354817428219028	0.029922135706340378	0.008613897788749408	0.0008039030880966901	0.014063186679037063	0.04664115561076273	0.0015932287776947972	0.004773466112505658	0.0	0.0017669145255098284	0.0	0.0	0.018135824884228564	0.0	0.0008640610871094143	0.0005077753094255791	0.007462387161484453	0.0	0.0	0.003700385619132941	0.006104723939376432	0.0010765482463595672	0.007666438668490652	0.0004469717662834298	0.001379659871607163	0.0007613971637955648	0.0	0.005194975997895706	0.0047092804219515255	0.0055470670298279415	0.0026907036189963676
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.002199183160540371	0.002234230489452354	0.02036183990920622	9.296920395119116e-05	0.00026493575307987813	0.02491103202846975	0.04168118250136864	0.005954173713597294	0.04120966460022254	0.0861161197259286	0.02262970100555248	0.005806288032454361	0.002922886792082704	0.08221325287041029	0.001045647255651248	0.04036515408511368	0.007892770409116383	0.002352063792559447	0.07694660734149054	0.0059351856715163616	0.0019404557298885624	0.0020752966453440108	0.003165507983891972	0.03305949713716704	0.025348751080202462	0.017254870488152323	0.00029448575425163807	0.009010558912711554	0.013476263399693721	0.006018074624125339	0.0	0.03247262132020496	0.009330371310695017	0.027382146439317953	0.028238513849726324	0.006310171997259582	0.04859190589335099	0.02844377684056464	0.029378435038812396	0.0005414956680346557	0.008442800029798117	0.012585876787926569	0.003584911646204118	0.04183195095564371	0.014203985006904715	0.04552304407886475	0.00099647910715472	0.007601237723664739
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	0.0	0.0030136132183310816	0.0	0.0	0.0	0.0	0.0066938734882795005	0.008757500637119756	0.009318868224447623	0.05257843490804183	0.0	0.006440162271805274	0.0008435176648292367	0.022532230886790235	0.0	0.1052581425930514	0.015038296282458435	0.0	0.007119021134593994	0.0044382583118861285	0.004518489771026224	0.0	0.001722998016548795	0.005875031117749565	0.004444261553022509	0.004935695511727293	0.0036442612088640213	0.010451388142190491	0.0043899948953547725	0.003386441991880699	0.003377859665284815	0.0319300713352758	0.005881730667512959	0.03789368104312939	0.0029441034997512027	0.03178523780333898	0.010185798309508044	0.005526989812621565	0.024024024024024024	0.0032774737802097583	0.024136475379305206	0.0013515035476968128	0.014181022175692396	0.0	0.0	0.01098832098455356	0.020693549458579687	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	0.0	0.008781045412033669	0.0	0.0	0.0	0.0	0.006892947792763649	0.0531705395825128	0.0	0.0780923187883159	0.0	0.0	0.0040410381152284364	0.0	0.0	0.04634941205618342	0.015271810199887914	0.0	0.0	0.008718945322758548	0.009341908299606365	0.0	0.010939033919019093	0.035051033109285534	0.05090325501008189	0.0373387371842459	0.0006994036663476404	0.03679490763639492	0.018529862174578866	0.02805034782431302	0.033164440350069095	0.019129910579724706	0.02803342854120385	0.01691073219658977	0.05145961187593299	0.005967619803122634	0.003875667043197133	0.03264197816165001	0.09388633916935804	0.01866735066119471	0.041940850736261824	0.022722153395652665	0.017956283112845403	0.0	0.003156441112645492	0.021097576290342836	0.004882747625058128	0.07964482712229248
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__	0.00583830767619646	0.0	0.023455059305249572	0.0	0.025831235925288118	0.0035587188612099642	0.03210073159806898	0.0	0.01957161023684629	0.0	0.04346581693983858	0.004437119675456389	0.015124467897287011	0.0	0.022414874807505845	0.0004002210744982943	0.0035494115449280776	0.004962280928204687	0.0	0.0008403802720731131	0.0024671508565726006	0.0	0.0037665538036182958	0.0	0.002386733056252829	0.011777452298308622	0.0005889715085032761	0.005548267779187544	0.0	0.0	0.0013818516812528789	0.01649753843062393	0.03220141753940548	0.04324974924774323	0.001617183612539393	0.0035697544441639925	0.042496007478674096	0.034914399060219155	0.0053544110147883735	0.01872435020519836	0.0012415882396761939	0.0010417839846829599	0.0	0.0	0.0	0.0006279040562602034	0.000298943732146416	0.0012780842190232746
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	0.0317572520682794	0.0051958848591915205	0.017691434675211965	0.026658919233004067	0.048681944628427606	0.04772870002093364	0.02189817349325636	0.042490095683803256	0.021737402638690194	0.052055535521096284	0.06752656986395467	0.012880324543610547	0.1776487435510132	0.0020572906461851954	0.025437745964752182	0.01764784357073431	0.06804595553895013	0.017783896968132405	0.0589265850945495	0.006670518409580335	0.028136608083384154	0.001904389862786269	0.023801414461162424	0.012546676624346527	0.005637628081148924	0.011356112437551413	0.027092689391150702	0.013397561342766822	0.01189382337927514	0.02362349293131235	0.012590204206970674	0.02931779363006129	0.020628371945414153	0.0716950852557673	0.017789019737933322	0.03679731727544802	0.017586569547773927	0.030138463612378916	0.019094566264377586	0.05500455996352029	0.039631496610464105	0.014416037842099336	0.015989340439706862	0.008204111071042193	0.03708818307358453	0.01776968479216376	0.00900152793463097	0.005717745190367281
