taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0.00035281	0.00113132	0.00077851	5	13	0.072579	0.6304
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.00347822	0.00895424	0.00547602	17	21	0.0829968	0.663974
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0.00525515	0.00385838	-0.00139677	13	20	0.0829968	0.663974
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	0.00544444	0.00583429	0.00038985	10	20	0.0811809	0.663974
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.00156873	0.00369684	0.00212811	16	20	0.088643	0.690961
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0.00042181	0.00191941	0.00149759	6	12	0.0966482	0.69805
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas	0.00000000	0.00080620	0.00080620	0	7	0.0987374	0.69805
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	0.00000000	0.00068731	0.00068731	0	7	0.0987374	0.69805
genus	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	0.00077919	0.00015149	-0.00062770	13	9	0.0987374	0.69805
genus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.00497242	0.00132564	-0.00364678	11	5	0.112039	0.772754
