pathogen_group	candidate_count	shortlist_count
Acinetobacter	4	4
Burkholderia	1	1
Candida	1	1
Enterobacterales	4	4
Enterococcus	1	1
Haemophilus	3	3
Other	45	0
Pseudomonas	15	8
Staphylococcus	4	4
Stenotrophomonas	1	1
Streptococcus	1	1
