UniRef90	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
UniRef90_UPI0008DD236A	10.913381392205455	0.1387324472478788	0.00019305663988773998	Mycobacteria	0.20665560123743063	0.22839396366267947	"{""Acinetobacter"": 0.00020580760242889032, ""Candida"": 0.00010145428739436081, ""Enterobacterales"": 2.2588742784409858e-05, ""Haemophilus"": 0.00021361107498859864, ""Mycobacteria"": 0.00021564538267214984, ""Pseudomonas"": 2.975432884744747e-05, ""Staphylococcus"": 0.00014374917284497283, ""Stenotrophomonas"": 5.810622975337147e-05, ""Streptococcus"": 0.00012082195520395424}"
UniRef90_A0A2W5R9Q7	10.89435914552737	0.1378266259774938	0.0003794316225899751	Mycobacteria	0.2077571086517132	0.2292980912677162	"{""Acinetobacter"": 0.00018036606032199916, ""Candida"": 0.00013967540693251326, ""Enterobacterales"": 4.418415636015644e-05, ""Haemophilus"": 0.00023333760447292865, ""Mycobacteria"": 0.0004236157789501315, ""Pseudomonas"": 0.00015890935169432895, ""Staphylococcus"": 0.0002928386290181274, ""Stenotrophomonas"": 7.361277225633088e-05, ""Streptococcus"": 0.00010985230770050591}"
UniRef90_X1I8E8	10.887906097018252	0.1375193379532501	0.0004310285326862541	Mycobacteria	0.20813185158819536	0.22939873015647147	"{""Acinetobacter"": 0.00016236273311351403, ""Candida"": 0.00016940568946987293, ""Enterobacterales"": 2.0673105343913927e-05, ""Haemophilus"": 0.0003478374928040415, ""Mycobacteria"": 0.000451701638030168, ""Pseudomonas"": 0.00014249211202906246, ""Staphylococcus"": 0.0002054760292411173, ""Stenotrophomonas"": 0.00011034254995870605, ""Streptococcus"": 0.00013210197077681592}"
UniRef90_A0A0S8G6B2	10.786808846761451	0.1327051831791167	4.885766415298582e-06	Pseudomonas	0.2140739593074824	0.23562698378197725	"{""Acinetobacter"": 3.6750833816589844e-07, ""Candida"": 0.0, ""Enterobacterales"": 1.1322614997916969e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 4.885766415298582e-06, ""Staphylococcus"": 1.4742089330148993e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.5558560338261396e-07}"
UniRef90_A0A358QXZ8	10.752569750367106	0.13107475001748126	6.377903324616079e-07	Streptococcus	0.21611688588682354	0.2375523922315764	"{""Acinetobacter"": 4.557402701066606e-07, ""Candida"": 0.0, ""Enterobacterales"": 2.7059871037814063e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 8.949973154602846e-08, ""Staphylococcus"": 5.746954962283074e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 6.377903324616079e-07}"
UniRef90_A0A0E2LTA1	10.743255295429208	0.13063120454424798	0.0004757034446355772	Haemophilus	0.21667532916471902	0.2378430682418693	"{""Acinetobacter"": 0.0003244986198943172, ""Candida"": 9.62036231310418e-05, ""Enterobacterales"": 1.2429730290910655e-05, ""Haemophilus"": 0.00048813317492648787, ""Mycobacteria"": 0.0002485507596210807, ""Pseudomonas"": 0.0001988642925905884, ""Staphylococcus"": 0.00015850818515858502, ""Stenotrophomonas"": 4.715694827324959e-05, ""Streptococcus"": 0.00016075699202832897}"
UniRef90_J3LVN8	10.632942128692834	0.12537819660442068	5.0742473322035046e-05	Candida	0.22337681570076892	0.24486699715707597	"{""Acinetobacter"": 2.4578391665683715e-05, ""Candida"": 5.0742473322035046e-05, ""Enterobacterales"": 2.7438950261233e-06, ""Haemophilus"": 0.0, ""Mycobacteria"": 3.7601006430218494e-05, ""Pseudomonas"": 0.0, ""Staphylococcus"": 3.5097926061895705e-05, ""Stenotrophomonas"": 3.3429559640093586e-05, ""Streptococcus"": 0.0}"
UniRef90_A0A2J6JET8	10.505752961082909	0.1193215695753766	8.007860366696901e-07	Pseudomonas	0.23130592832248023	0.2528736432606575	"{""Acinetobacter"": 3.5578053939214997e-07, ""Candida"": 0.0, ""Enterobacterales"": 2.96121650271843e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 8.007860366696901e-07, ""Staphylococcus"": 2.3982845434935535e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 7.766654784463982e-07}"
UniRef90_W1WIF5	10.505752961082909	0.1193215695753766	7.774608748945718e-07	Pseudomonas	0.23130592832248023	0.2528736432606575	"{""Acinetobacter"": 3.45316405925577e-07, ""Candida"": 0.0, ""Enterobacterales"": 2.8741218997114456e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 7.774608748945718e-07, ""Staphylococcus"": 2.3277467625749567e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 7.53973512630477e-07}"
UniRef90_A0A259JHY1	10.478432452276055	0.1180205929655264	6.631373348361449e-06	Streptococcus	0.233037638366533	0.2544230086889679	"{""Acinetobacter"": 8.009211239500492e-07, ""Candida"": 0.0, ""Enterobacterales"": 1.681669469244619e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 9.473815369164114e-07, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 6.631373348361449e-06}"
UniRef90_A0A2W5SUS9	10.365165819414191	0.11262694378162814	0.000588670363273052	Haemophilus	0.24032546377694136	0.2620260110452096	"{""Acinetobacter"": 0.0003324760255484764, ""Candida"": 0.00024494727803093315, ""Enterobacterales"": 5.264857922879008e-06, ""Haemophilus"": 0.000593935221195931, ""Mycobacteria"": 0.0004510038829214878, ""Pseudomonas"": 0.00019096404936560683, ""Staphylococcus"": 2.8028221637857136e-05, ""Stenotrophomonas"": 9.284349886909278e-05, ""Streptococcus"": 0.0001540741858353261}"
UniRef90_A0A287IB17	10.330116879586843	0.11095794664699252	0.0001076134951990933	Mycobacteria	0.24261615390610608	0.26416752154783285	"{""Acinetobacter"": 8.103951136428679e-05, ""Candida"": 0.0, ""Enterobacterales"": 0.0, ""Haemophilus"": 9.125153907439317e-05, ""Mycobacteria"": 0.0001076134951990933, ""Pseudomonas"": 2.5199870002868728e-05, ""Staphylococcus"": 3.0414174668648954e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.0521427700068634e-05}"
UniRef90_A0A0V0SUR0	10.320866420873507	0.11051744861302415	0.00016596252756240725	Mycobacteria	0.24322355036638277	0.2642696623382169	"{""Acinetobacter"": 5.134899536671076e-05, ""Candida"": 0.0, ""Enterobacterales"": 1.4661454934598083e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.00016596252756240725, ""Pseudomonas"": 0.0, ""Staphylococcus"": 3.373145977849988e-05, ""Stenotrophomonas"": 0.00010983222785153017, ""Streptococcus"": 7.43834157917556e-05}"
UniRef90_A0A2N9GIA5	10.318740822320112	0.11041622963429107	6.403808686651112e-05	Pseudomonas	0.24336328608401928	0.2642696623382169	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 1.6912401423247453e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 6.403808686651112e-05, ""Staphylococcus"": 5.020860828962641e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.7379435241929334e-05}"
UniRef90_Q65Q50	10.263952164009119	0.10780724590519614	2.6036341103825906e-05	Stenotrophomonas	0.24698654491666908	0.2678446579592296	"{""Acinetobacter"": 8.642917866526609e-06, ""Candida"": 0.0, ""Enterobacterales"": 0.0, ""Haemophilus"": 2.4973275544769852e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 2.1511419364596294e-06, ""Staphylococcus"": 1.1062445704834794e-06, ""Stenotrophomonas"": 2.6036341103825906e-05, ""Streptococcus"": 0.0}"
UniRef90_A0A101E798	10.219362186788144	0.1056839136565783	7.482649135725317e-06	Staphylococcus	0.24996595055924062	0.27035087433479366	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 5.346865041975934e-08, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 9.226183297938858e-07, ""Staphylococcus"": 7.482649135725317e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.1083412982002997e-06}"
UniRef90_A0A2N2LDC4	10.219362186788144	0.1056839136565783	7.183343169003302e-06	Staphylococcus	0.24996595055924062	0.27035087433479366	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 5.1329904403956974e-08, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 8.857135966365834e-07, ""Staphylococcus"": 7.183343169003302e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.0640076463515378e-06}"
UniRef90_A0A259K809	10.20457304734925	0.10497966892139285	1.5390990443726965e-06	Acinetobacter	0.2509602093036355	0.2710638308766904	"{""Acinetobacter"": 1.5390990443726965e-06, ""Candida"": 0.0, ""Enterobacterales"": 2.9529017947988515e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 9.436827543489214e-07, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.7471389924858026e-07}"
UniRef90_A0A0Y5UK39	10.163496560097137	0.10302364571891129	0.00034570036381443073	Stenotrophomonas	0.2537376643221336	0.2736983605821415	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 9.429548098335368e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 8.669424162179089e-05, ""Staphylococcus"": 1.643552499958826e-05, ""Stenotrophomonas"": 0.00034570036381443073, ""Streptococcus"": 6.197296015131479e-05}"
