run	pathogen_group	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5
SRR27343266	Stenotrophomonas	-0.2976055711688297	-0.14388756105188685	0.0957521516696746	0.23232526583244026	0.09079271509983221
SRR27343272	Enterobacterales	-0.5912329802624872	-0.20487954022610141	0.014339503279903252	-0.3383844309709437	-0.08321420558004018
SRR27343276	Pseudomonas	-0.06600350716147392	0.07949789392766657	-0.39632902322453684	0.17683661300871997	0.023139605468359175
SRR27343296	Staphylococcus	0.257883716594063	-0.04204980277231427	0.05700435752499742	-0.10154781130439493	0.10317338734709627
SRR27343346	Enterobacterales	-0.5474307349308039	-0.24765996718569588	0.06652159925903986	-0.06695566717559286	0.011934804546697661
SRR27343475	Candida	-0.007843555205716508	-0.07739196189776	0.04958695783247834	0.27593735959250926	0.026290935274737432
SRR27343490	Staphylococcus	-0.3902945630328099	0.6714386089113481	0.22447659388505145	-0.16900860283509195	-0.0025287378351749987
SRR27343494	Enterobacterales	-0.5155887037396207	-0.2635144519978104	0.08969559179462663	-0.030799881985269104	0.01591054731560271
SRR27343495	Pseudomonas	-0.340177652266998	0.2089157225432545	-0.687167867100969	-0.07465509412504823	0.03743289340095838
SRR27343518	Mycobacteria	0.2608710673135722	-0.05148437712418283	0.05307738793302002	-0.10270790321760365	0.10324606183857792
SRR27343520	Mycobacteria	0.2526602187876731	-0.04478790540186673	0.04965546004587195	-0.10256301431950271	0.1058821731391721
SRR27343522	Mycobacteria	0.26186427049466576	-0.04847035470167285	0.052374625236455766	-0.12235661501333257	0.11782091013121862
SRR27343523	Streptococcus	0.058466750670572776	-0.0368931231270177	0.055586009477124575	0.27858727336512507	0.020566959629091348
SRR27343532	Acinetobacter	0.17391144786241494	-0.0197492830381369	0.011804636246543545	-0.0007430698502921017	-0.35535559222085394
SRR27343566	Enterobacterales	-0.5193255976947959	-0.2615314205085554	0.07819927714369872	-0.045915252361810564	0.004269426953342332
SRR27343601	Haemophilus	0.2602942791316967	-0.05338957312166377	0.03440378457484945	-0.1590446916330891	0.11520637606579247
SRR27343719	Haemophilus	0.23882600470602638	-0.056902340244983036	0.025306684208789187	-0.08974909229369783	0.06457616726609906
SRR27343725	Staphylococcus	-0.2638308241696793	0.4467828551417723	0.25228389520267586	0.06876871122741847	0.06079878333630454
SRR27343734	Streptococcus	0.19496729082805975	-0.0289159092059222	0.0517511570048373	0.1282403056681775	0.025933279221428986
SRR27343738	Acinetobacter	0.18023158453693705	-0.029338456313763587	0.008833392213863204	-0.03932609137827031	-0.33676794747979133
SRR27343742	Mycobacteria	0.2629433618146694	-0.04930952323827469	0.053356417271346934	-0.12859656346760298	0.11723870173822058
SRR27343835	Streptococcus	-0.05202386872807403	-0.02624291580967677	0.05515214746403733	0.3673437112514122	0.04071407730123239
SRR27343839	Streptococcus	0.015530160227194665	-0.012838958448508348	0.049208515373565145	0.343172532516366	0.01964064107843087
SRR27343853	Acinetobacter	0.24184161514883704	-0.04845330200558724	0.03710811996789628	-0.11524723932103668	-0.13335481501642668
SRR27343867	Pseudomonas	0.09522653893819263	0.07035755360856684	-0.35121353836531605	0.027124917701452967	-0.01600664818396003
SRR27343868	Acinetobacter	0.16072247992117958	-0.018450376339250812	0.035381593513786724	0.03732572511213256	-0.32524338205573083
SRR27343993	Staphylococcus	0.04109590026973263	0.3523117165099845	0.158235556927645	0.01249026289488387	-0.03679559442586172
SRR27344035	Haemophilus	0.21162957516562178	-0.05110794891321302	0.02028438634015284	-0.045681244237131845	0.027645990385164396
SRR27344040	Pseudomonas	0.16073572755651352	0.039736691821712446	-0.2792447791477256	-0.05225937255848741	0.04378629184195808
SRR27344041	Haemophilus	0.26165556839366566	-0.05179198979046037	0.034575406446615824	-0.16261104012243974	0.11326619441852037
