pathogen_group	UniRef90	spearman_rho	raw_p	BH_q_within_pathogen	matched_species_features
Acinetobacter	UniRef90_A0A0E2UGZ4	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E4D7R3	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E9FJ85	-0.04762613570095293	0.8026519780488784	0.8882974695506739	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E9FK67	-0.0921685647737866	0.6280946393943005	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E9FL68	-0.05105247639886321	0.7887618314859651	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E9FLV2	-0.06886944802799669	0.7176398016967755	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0F9P0A2	0.45597243807093674	0.011328428361170964	0.18593507900478579	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0G3AZB8	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0G3KI92	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0H2V5P1	0.1364437148366757	0.47217132559576414	0.8622722401963278	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0H2Z536	-0.08734153582030815	0.6462768408957577	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0H4TCP9	-0.06073946015310079	0.7498463258522845	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
