analysis	n	features	groups	PERMANOVA_F	PERMANOVA_R2	PERMANOVA_p	PERMDISP_F	PERMDISP_R2	PERMDISP_p	permutations	PCoA1_fraction_gower_trace	PCoA2_fraction_gower_trace
gene_family_prevalence_10pct	30	25824	9	8.908536998627746	0.7724028630321885	0.0001	3.9150657194050287	0.5986278865346318	0.0093	9999	0.36900223907473567	0.17224379755981375
gene_family_prevalence_20pct	30	809	9	3.8291245758762593	0.5932833385628273	0.0002	5.871286776364711	0.6910415021180402	0.0015	9999	0.5616674563046941	0.22170692469684777
gene_family_prevalence_30pct	30	216	9	3.570676313916228	0.5763174402600831	0.0006	5.57020167029433	0.6796906158496374	0.002	9999	0.5806747478703991	0.23862573233751658
technical_n30	30	210	9	5.802127826985226	0.6885059709674436	0.0001	11.799809622933505	0.818021861735589	0.0001	9999	0.5123284540309637	0.122941682051544
biological_n24	24	210	8	3.86429554457091	0.6283397346035966	0.0001	4.754721092106163	0.6753447531220876	0.0204	9999	0.2785677951760407	0.19954159352919792
biological_nonextreme_n23	23	210	8	6.75242718778253	0.7591018945312289	0.0001	16.152166318161516	0.8828721292747754	0.0002	9999	0.2997272300721352	0.24575732581591006
