community_state	full_n	full_fraction	selected30_n	selected30_fraction	selection_enrichment_ratio
1	138	0.345	9	0.3	0.8695652173913044
2	170	0.425	11	0.36666666666666664	0.8627450980392156
3	30	0.075	0	0.0	0.0
4	41	0.1025	1	0.03333333333333333	0.3252032520325203
5	10	0.025	0	0.0	0.0
6	1	0.0025	0	0.0	0.0
7	7	0.0175	7	0.23333333333333334	13.333333333333332
8	1	0.0025	1	0.03333333333333333	13.333333333333332
9	1	0.0025	0	0.0	0.0
10	1	0.0025	1	0.03333333333333333	13.333333333333332
