section	metric	cohort	value1	value2	value3
aitchison_pcoa	SRR27343287	Lung cancer	6.579107789634943	4.069650672305345	True
aitchison_pcoa	SRR27343292	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343320	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343328	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343357	Bacterial infection	-1.7438120732757483	0.40287962512085485	True
aitchison_pcoa	SRR27343483	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343528	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343727	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343762	Pulmonary tuberculosis	7.512306772512917	-2.3976382380885526	False
aitchison_pcoa	SRR27343767	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343773	Fungal infection	8.94318360387056	-1.9258794207040444	True
aitchison_pcoa	SRR27343780	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343786	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343811	Fungal infection	4.402739305260316	-3.4826028298542946	False
aitchison_pcoa	SRR27343819	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343859	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343869	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343923	Bacterial infection	-4.8814951168729594	-3.6431489678348616	False
aitchison_pcoa	SRR27343937	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344039	Bacterial infection	-3.7386788350592512	4.29038390207612	True
aitchison_pcoa	SRR27343271	Lung cancer	7.886402183620596	0.34452313889708386	True
aitchison_pcoa	SRR27343279	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343282	Lung cancer	-5.147687850441786	7.03619564173886	False
aitchison_pcoa	SRR27343285	Lung cancer	3.243850928658822	-3.0680932950889956	False
aitchison_pcoa	SRR27343295	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343309	Pulmonary tuberculosis	-4.831318203864677	6.419669075790279	False
aitchison_pcoa	SRR27343318	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343423	Bacterial infection	-7.53164533948404	-7.105925723071245	True
aitchison_pcoa	SRR27343473	Lung cancer	1.5513681793200573	-5.592900763579231	False
aitchison_pcoa	SRR27343482	Lung cancer	11.634364032779763	-1.206987554934722	True
aitchison_pcoa	SRR27343487	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343507	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343511	Pulmonary tuberculosis	-0.5385321351914962	-7.1570611443602425	True
aitchison_pcoa	SRR27343529	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343588	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343697	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343701	Lung cancer	0.410141181679881	-6.982919046815292	True
aitchison_pcoa	SRR27343702	Lung cancer	6.784122995726129	-0.950489747813772	True
aitchison_pcoa	SRR27344010	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344043	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343703	Lung cancer	-8.986986832584833	-7.894825805290314	True
aitchison_pcoa	SRR27343710	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343724	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343741	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343746	Pulmonary tuberculosis	4.331298958203632	-3.443596157563817	True
aitchison_pcoa	SRR27343748	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343750	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343759	Pulmonary tuberculosis	-2.69003257087985	-2.077929876999617	True
aitchison_pcoa	SRR27343763	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343770	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343772	Fungal infection	3.243850928658822	-3.0680932950889956	False
aitchison_pcoa	SRR27343775	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343783	Fungal infection	3.243850928658822	-3.0680932950889956	False
aitchison_pcoa	SRR27343784	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343785	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343788	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343803	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343812	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343813	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343959	Bacterial infection	-8.064268393930766	-8.184614319658179	True
aitchison_pcoa	SRR27343278	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343300	Lung cancer	10.162653236021551	-0.6225790662437505	True
aitchison_pcoa	SRR27343308	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343312	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343315	Bacterial infection	-2.1131688980058327	-5.49358677557557	True
aitchison_pcoa	SRR27343329	Pulmonary tuberculosis	3.243850928658822	-3.0680932950889956	False
aitchison_pcoa	SRR27343435	Bacterial infection	11.424070769304947	-1.290561680077671	True
aitchison_pcoa	SRR27343470	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343477	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343496	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343505	Pulmonary tuberculosis	10.121652990632152	-0.6408273472516313	True
aitchison_pcoa	SRR27343506	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343513	Pulmonary tuberculosis	8.253554841861336	3.547193889551638	True
aitchison_pcoa	SRR27343521	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343747	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344016	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344018	Lung cancer	-3.947412508253814	-1.5137574416173927	False
aitchison_pcoa	SRR27344022	Lung cancer	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344038	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27344048	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343749	Pulmonary tuberculosis	-4.951975646234687	6.654800730818981	False
aitchison_pcoa	SRR27343756	Pulmonary tuberculosis	7.3460916546752815	-2.7147422037950184	False
aitchison_pcoa	SRR27343764	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343768	Fungal infection	-4.857586960905361	-3.6123195050415626	True
aitchison_pcoa	SRR27343769	Bacterial infection	0.42555027201055423	-4.8598321780473075	False
aitchison_pcoa	SRR27343774	Fungal infection	-1.7438120732757483	0.40287962512085485	True
aitchison_pcoa	SRR27343781	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343795	Fungal infection	2.8319859006617927	0.7236185495934445	False
aitchison_pcoa	SRR27343797	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343798	Fungal infection	-3.6692980064907466	4.753761164396585	True
aitchison_pcoa	SRR27343818	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343821	Fungal infection	-2.272266814172466	-7.509696720369541	True
aitchison_pcoa	SRR27343828	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343830	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343837	Fungal infection	1.2338883524635509	-0.6924908649211271	True
aitchison_pcoa	SRR27343841	Fungal infection	8.164271414303979	-0.8511721516805135	True
aitchison_pcoa	SRR27343843	Fungal infection	-1.7438120732757483	0.40287962512085485	False
aitchison_pcoa	SRR27343851	Fungal infection	-1.7438120732757483	0.40287962512085485	False
