section	metric	group	value1	value2	value3
selection_bias	observed_species	selected30	5.0	19.9	0.005786389424090675
selection_bias	observed_species	other370	3.0	15.927027027027027	0.005786389424090675
selection_bias	shannon	selected30	0.24835694224232358	0.6165869481317717	0.9362687856908165
selection_bias	shannon	other370	0.6680244987133829	1.009564662846303	0.9362687856908165
selection_bias	dominant_species_abundance	selected30	0.9557134774285367	0.8387384073017797	1.1923681187925213e-06
selection_bias	dominant_species_abundance	other370	0.3897567896666072	0.43958888076537994	1.1923681187925213e-06
selection_bias	classified_fraction	selected30	0.045895000000000005	0.04793183333333333	2.6285818668433082e-08
selection_bias	classified_fraction	other370	0.017475499999999998	0.02205832972972973	2.6285818668433082e-08
selection_bias	distance_to_bray_centroid	selected30	0.6993989472238262	0.6331329414451575	0.031106216246549002
selection_bias	distance_to_bray_centroid	other370	0.6622045464614291	0.5977474736435713	0.031106216246549002
pcoa_position	SRR27343287	Lung cancer	6.579107789634943	4.069650672305345	False
pcoa_position	SRR27343292	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343320	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343328	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343357	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343483	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343528	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343727	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343762	Pulmonary tuberculosis	7.512306772512917	-2.3976382380885526	False
pcoa_position	SRR27343767	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343773	Fungal infection	8.94318360387056	-1.9258794207040444	False
pcoa_position	SRR27343780	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343786	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343811	Fungal infection	4.402739305260316	-3.4826028298542946	False
pcoa_position	SRR27343819	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343859	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343869	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343923	Bacterial infection	-4.8814951168729594	-3.6431489678348616	False
pcoa_position	SRR27343937	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344039	Bacterial infection	-3.7386788350592512	4.29038390207612	False
pcoa_position	SRR27343271	Lung cancer	7.886402183620596	0.34452313889708386	False
pcoa_position	SRR27343279	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343282	Lung cancer	-5.147687850441786	7.03619564173886	False
pcoa_position	SRR27343285	Lung cancer	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343295	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343309	Pulmonary tuberculosis	-4.831318203864677	6.419669075790279	False
pcoa_position	SRR27343318	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343423	Bacterial infection	-7.53164533948404	-7.105925723071245	False
pcoa_position	SRR27343473	Lung cancer	1.5513681793200573	-5.592900763579231	False
pcoa_position	SRR27343482	Lung cancer	11.634364032779763	-1.206987554934722	False
pcoa_position	SRR27343487	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343507	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343511	Pulmonary tuberculosis	-0.5385321351914962	-7.1570611443602425	False
pcoa_position	SRR27343529	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343588	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343697	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343701	Lung cancer	0.410141181679881	-6.982919046815292	False
pcoa_position	SRR27343702	Lung cancer	6.784122995726129	-0.950489747813772	False
pcoa_position	SRR27344010	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344043	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343703	Lung cancer	-8.986986832584833	-7.894825805290314	False
pcoa_position	SRR27343710	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343724	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343741	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343746	Pulmonary tuberculosis	4.331298958203632	-3.443596157563817	False
pcoa_position	SRR27343748	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343750	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343759	Pulmonary tuberculosis	-2.69003257087985	-2.077929876999617	False
pcoa_position	SRR27343763	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343770	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343772	Fungal infection	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343775	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343783	Fungal infection	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343784	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343785	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343788	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343803	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343812	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343813	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343959	Bacterial infection	-8.064268393930766	-8.184614319658179	False
pcoa_position	SRR27343278	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343300	Lung cancer	10.162653236021551	-0.6225790662437505	False
pcoa_position	SRR27343308	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343312	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343315	Bacterial infection	-2.1131688980058327	-5.49358677557557	False
pcoa_position	SRR27343329	Pulmonary tuberculosis	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343435	Bacterial infection	11.424070769304947	-1.290561680077671	False
pcoa_position	SRR27343470	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343477	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343496	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343505	Pulmonary tuberculosis	10.121652990632152	-0.6408273472516313	False
pcoa_position	SRR27343506	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343513	Pulmonary tuberculosis	8.253554841861336	3.547193889551638	False
pcoa_position	SRR27343521	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343747	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344016	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344018	Lung cancer	-3.947412508253814	-1.5137574416173927	False
pcoa_position	SRR27344022	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344038	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344048	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343749	Pulmonary tuberculosis	-4.951975646234687	6.654800730818981	False
pcoa_position	SRR27343756	Pulmonary tuberculosis	7.3460916546752815	-2.7147422037950184	False
pcoa_position	SRR27343764	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343768	Fungal infection	-4.857586960905361	-3.6123195050415626	False
pcoa_position	SRR27343769	Bacterial infection	0.42555027201055423	-4.8598321780473075	False
pcoa_position	SRR27343774	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343781	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343795	Fungal infection	2.8319859006617927	0.7236185495934445	False
pcoa_position	SRR27343797	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343798	Fungal infection	-3.6692980064907466	4.753761164396585	False
pcoa_position	SRR27343818	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343821	Fungal infection	-2.272266814172466	-7.509696720369541	False
pcoa_position	SRR27343828	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343830	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343837	Fungal infection	1.2338883524635509	-0.6924908649211271	False
pcoa_position	SRR27343841	Fungal infection	8.164271414303979	-0.8511721516805135	False
pcoa_position	SRR27343843	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343851	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343856	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343860	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343239	Bacterial infection	-5.2488551597284046	-2.4641431592609506	False
pcoa_position	SRR27343270	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343274	Lung cancer	-0.40655723580654113	0.7013518193852816	False
pcoa_position	SRR27343283	Lung cancer	-4.695426965194727	3.5382661699583253	False
pcoa_position	SRR27343290	Lung cancer	5.779056173903951	-2.1182352258327874	False
pcoa_position	SRR27343303	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343305	Pulmonary tuberculosis	-0.34519667775498264	1.2707960086005157	False
pcoa_position	SRR27343316	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343319	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343326	Bacterial infection	-3.435240291327691	-1.562363581516093	False
pcoa_position	SRR27343333	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343412	Bacterial infection	-8.132724482496752	-4.919375359504941	False
pcoa_position	SRR27343480	Lung cancer	-1.7438120732757483	0.40287962512085485	False
