genus	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Caldanaerobacter	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Colwellia	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Dermacoccus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Devriesea	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Flaviflexus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Gloeobacter	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Gossypium	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Gottschalkia	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Halobacillus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Haloterrigena	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Herbiconiux	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Impatiens	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Kozakia	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Latilactobacillus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Microlunatus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Miniimonas	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Mycetocola	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Natribaculum	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Nocardiopsis	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Novibacillus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Paeniclostridium	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Paeniglutamicibacter	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Pahexavirus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Paraglaciecola	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Photobacterium	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Pisum	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Planococcus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Rhodoluna	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Serpentinicella	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Simiduia	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Sinorhizobium	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Solanum	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Streptobacillus	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Theobroma	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Thiohalobacter	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Vitis	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Zingiber	1	0.0025	2.8247310856006508e-08	0.0	1.1298924342402603e-05
Iodobacter	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
Lupinus	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
Paraprevotella	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
Rodentibacter	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
Thiomicrorhabdus	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
Trichlorobacter	1	0.0025	2.5024273545338983e-08	0.0	1.0009709418135593e-05
