species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Kocuria rhizophila	3	0.0075	3.253301031414453e-05	0.0	0.011054520199097119
Ideonella dechloratans	3	0.0075	3.050107052017225e-05	0.0	0.0073937153419593345
Cellvibrio sp. KY-GH-1	3	0.0075	2.7715784214649827e-05	0.0	0.0045871559633027525
Treponema sp. OMZ 803	3	0.0075	2.747373763872299e-05	0.0	0.010830324909747294
Campylobacter curvus	3	0.0075	2.4808640638750928e-05	0.0	0.00979689366786141
Ralstonia solanacearum	3	0.0075	2.324907132817176e-05	0.0	0.0039315337776286135
Streptococcus agalactiae	3	0.0075	1.721835912362407e-05	0.0	0.005611708063641871
Caldibacillus thermoamylovorans	3	0.0075	1.561638918969433e-05	0.0	0.003979479311502133
Acinetobacter bereziniae	3	0.0075	1.529454347025468e-05	0.0	0.00278526301487738
Phocaeicola vulgatus	3	0.0075	1.494421959440017e-05	0.0	0.0022945900626599593
Actinomyces sp. HMT 175	3	0.0075	1.4298015968976058e-05	0.0	0.0044469752433634315
Kaistella sp. BT6-1-3	3	0.0075	1.4179623714279027e-05	0.0	0.004324419733474539
Streptococcus pyogenes	3	0.0075	1.240618752590836e-05	0.0	0.004145011637917291
Bacteroides xylanisolvens	3	0.0075	1.2387767349363354e-05	0.0	0.004276186739897999
Achromobacter xylosoxidans	3	0.0075	1.1527713795824117e-05	0.0	0.0030685141679052596
Leptotrichia sp. oral taxon 218	3	0.0075	1.0233751806513759e-05	0.0	0.0031839795554996966
Paracoccus marcusii	3	0.0075	8.972971199995606e-06	0.0	0.001961553550411926
Cupriavidus necator	3	0.0075	8.72828353138879e-06	0.0	0.0017497812773403325
Lactobacillus iners	3	0.0075	7.975868707422217e-06	0.0	0.001562680865840954
Mesorhizobium terrae	3	0.0075	7.553890487031372e-06	0.0	0.002471557473519027
Helianthus annuus	3	0.0075	7.339444174989265e-06	0.0	0.002273222682402765
Sphingomonas sp. AAP5	3	0.0075	7.085208316019226e-06	0.0	0.0018046292663789721
Staphylococcus saprophyticus	3	0.0075	7.0191528551107346e-06	0.0	0.0015048037967357332
Empedobacter falsenii	3	0.0075	6.951940405752303e-06	0.0	0.001358664885306039
Methylobacterium organophilum	3	0.0075	6.914366567921659e-06	0.0	0.001583135441403158
Staphylococcus pettenkoferi	3	0.0075	6.864228623960298e-06	0.0	0.001109576322999932
Brevundimonas pondensis	3	0.0075	6.573033771253042e-06	0.0	0.001647704982346018
Capnocytophaga sp. oral taxon 323	3	0.0075	6.0144622833834385e-06	0.0	0.0014153410664287252
Novosphingobium sp. EMRT-2	3	0.0075	5.6381783685902455e-06	0.0	0.0010200078462142014
Methylotenera mobilis	3	0.0075	5.5687051532124936e-06	0.0	0.0016084739113377794
Porphyromonas asaccharolytica	3	0.0075	5.0643734683764876e-06	0.0	0.00197441162533565
Parascardovia denticolens	3	0.0075	5.016892404094162e-06	0.0	0.0010451620001100171
Arachnia rubra	3	0.0075	4.919745655329029e-06	0.0	0.0017374553832788804
Uruburuella testudinis	3	0.0075	4.256341998611431e-06	0.0	0.0015885623510722797
Fusobacterium canifelinum	3	0.0075	3.5735403409824248e-06	0.0	0.0008768293849440423
Aeromonas salmonicida	3	0.0075	3.144866893779519e-06	0.0	0.0008630835621812476
Pseudomonas wenzhouensis	3	0.0075	3.0368223621526636e-06	0.0	0.0006712374742292755
Treponema putidum	3	0.0075	2.8338871232855954e-06	0.0	0.0007151108421805379
Clostridioides difficile	3	0.0075	2.8316609892714272e-06	0.0	0.0009260331056835283
Bacteroides fragilis	3	0.0075	2.678989777296048e-06	0.0	0.0009589106774703937
Chryseobacterium taklimakanense	3	0.0075	2.3210578268266226e-06	0.0	0.00046301655284176413
Actinomyces viscosus	3	0.0075	2.188123664102701e-06	0.0	0.0004707728520988623
Conchiformibius steedae	3	0.0075	1.9219899112641027e-06	0.0	0.0007061592781482935
Neisseria wadsworthii	3	0.0075	1.3823870627133465e-06	0.0	0.0002937720329024676
Leptotrichia sp. oral taxon 847	3	0.0075	8.502793141191592e-07	0.0	0.00014348117208175238
Nicotiana attenuata	3	0.0075	7.724545925041406e-07	0.0	0.00028767320324111806
Neisseria chenwenguii	3	0.0075	7.378025486616169e-07	0.0	0.00020338063816324685
Prevotella sp. Rep29	3	0.0075	5.8875831320696e-07	0.0	0.00012576243476073698
Kingella potus	3	0.0075	4.1556747711802484e-07	0.0	8.228167072932417e-05
Pseudoprevotella muciniphila	3	0.0075	3.234043923233131e-07	0.0	8.803370433251587e-05
Aspergillus oryzae	2	0.005	0.0019317885382593033	0.0	0.4196978175713486
Candida orthopsilosis	2	0.005	0.0019266366038543283	0.0	0.749982462293932
Klebsiella aerogenes	2	0.005	0.0019171001218224971	0.0	0.7133351077987756
[Candida] glabrata	2	0.005	0.0008675577888447417	0.0	0.28649566201433424
Chryseobacterium indologenes	2	0.005	0.0008530090489275619	0.0	0.34119232064668237
Moraxella nonliquefaciens	2	0.005	0.0005389805643021253	0.0	0.21558092679650773
Acinetobacter gyllenbergii	2	0.005	0.00044715009944397947	0.0	0.178232223838453
Brassica oleracea	2	0.005	0.00030988991113724566	0.0	0.1195228534309673
Bradyrhizobium sp. 41S5	2	0.005	0.0003063349009643613	0.0	0.10459987397605545
Pantoea anthophila	2	0.005	0.0002652476768521226	0.0	0.10520197616971812
Bradyrhizobium septentrionale	2	0.005	0.00023960583138489338	0.0	0.08128544423440454
Elizabethkingia anophelis	2	0.005	0.0002253444535571076	0.0	0.08989805375347544
Delftia tsuruhatensis	2	0.005	0.00019190364314384666	0.0	0.07377989586091253
Mycobacteroides abscessus	2	0.005	0.00015194589229092041	0.0	0.05006820436507937
Aspergillus puulaauensis	2	0.005	0.00013843139528206107	0.0	0.05078540214952167
Asticcacaulis excentricus	2	0.005	0.00010717416229326485	0.0	0.023576186656436373
Triticum urartu	2	0.005	9.761830077446352e-05	0.0	0.0389908256880734
Bradyrhizobium sp. CCBAU 51753	2	0.005	7.429865150563538e-05	0.0	0.023314429741650915
Sphingomonas sp. IC081	2	0.005	6.43909216981714e-05	0.0	0.014288625710468511
Acinetobacter sp. LUNF3	2	0.005	6.36138465807942e-05	0.0	0.014696225176060325
Bradyrhizobium genosp. L	2	0.005	6.101014788477681e-05	0.0	0.020793950850661626
Microterricola viridarii	2	0.005	5.45690895229311e-05	0.0	0.021816336884830038
Enterococcus faecalis	2	0.005	5.224542455759769e-05	0.0	0.020878150404202805
Limosilactobacillus fermentum	2	0.005	5.157580232079303e-05	0.0	0.019178771301012386
Corynebacterium singulare	2	0.005	4.905342206219793e-05	0.0	0.01948766110994402
Saccharomyces cerevisiae	2	0.005	3.697442226678641e-05	0.0	0.014123185562965868
Novosphingobium sp. KA1	2	0.005	3.5360428488054466e-05	0.0	0.009125699146305562
Corynebacterium simulans	2	0.005	3.495838021958259e-05	0.0	0.009599332220367279
Malus domestica	2	0.005	3.256465747592118e-05	0.0	0.012299566119600076
Ezakiella coagulans	2	0.005	3.210505787665329e-05	0.0	0.012830724226318915
Herbaspirillum huttiense	2	0.005	3.152316612269469e-05	0.0	0.006366459627329193
Staphylococcus argenteus	2	0.005	2.869020288123154e-05	0.0	0.010597586105387106
Corynebacterium argentoratense	2	0.005	2.8355390964596742e-05	0.0	0.011078055272841149
Burkholderia territorii	2	0.005	2.7882777568909696e-05	0.0	0.010082385249117299
Delftia lacustris	2	0.005	2.688397686779407e-05	0.0	0.009650843468026676
Pseudomonas sp. PDNC002	2	0.005	2.526766670185581e-05	0.0	0.009165520976544599
Delftia acidovorans	2	0.005	2.5194950133353098e-05	0.0	0.009454688112985483
Brevundimonas sp. CS1	2	0.005	2.425080384963855e-05	0.0	0.008395449195763044
Flavobacterium sp. SHINM13	2	0.005	2.1403602964111513e-05	0.0	0.004590035307963907
Staphylococcus equorum	2	0.005	2.0880800582168125e-05	0.0	0.008295825611155237
Bradyrhizobium betae	2	0.005	2.0386821179331454e-05	0.0	0.008120831698705373
Brevundimonas sp. BT-123	2	0.005	1.983468904018351e-05	0.0	0.004668497449980384
Sulfurospirillum cavolei	2	0.005	1.9391066004017333e-05	0.0	0.006771617085310801
Mycolicibacterium phocaicum	2	0.005	1.7513642740232158e-05	0.0	0.005471714764804519
Corynebacterium sp. FDAARGOS 1242	2	0.005	1.745614703536818e-05	0.0	0.005332962344648488
Alicycliphilus denitrificans	2	0.005	1.6836498059185738e-05	0.0	0.004303762321255033
Pseudomonas fluorescens	2	0.005	1.6368082355852498e-05	0.0	0.0064731267163593564
Thauera hydrothermalis	2	0.005	1.5524933417505987e-05	0.0	0.005226063192213646
Burkholderia gladioli	2	0.005	1.5169599112403261e-05	0.0	0.0047077285209886225
Croceicoccus marinus	2	0.005	1.444822928627031e-05	0.0	0.002898485088652884
Klebsiella quasipneumoniae	2	0.005	1.3935601350435032e-05	0.0	0.0038232795242141037
Sphingomonas aliaeris	2	0.005	1.372087263381721e-05	0.0	0.0028615969419352083
Brevundimonas sp. 'scallop'	2	0.005	1.341410311810932e-05	0.0	0.0032079323417906094
Burkholderia sp. MS455	2	0.005	1.3353475708704529e-05	0.0	0.005296194586112201
Ornithinimicrobium flavum	2	0.005	1.2232458161916903e-05	0.0	0.004859086491739553
Burkholderia pyrrocinia	2	0.005	1.0559350203903947e-05	0.0	0.0023538642604943112
Bradyrhizobium erythrophlei	2	0.005	1.0530650293936391e-05	0.0	0.0037807183364839325
Phocaeicola dorei	2	0.005	1.0223570017767373e-05	0.0	0.0022063365987115
Staphylococcus sp. SB1-57	2	0.005	1.0202924076459392e-05	0.0	0.003979479311502133
Treponema sp. Marseille-Q4132	2	0.005	9.948732604386591e-06	0.0	0.003959473622918365
Mycobacterium frederiksbergense	2	0.005	9.649265932960964e-06	0.0	0.0035150231124807395
Corynebacterium glutamicum	2	0.005	9.538855214031681e-06	0.0	0.003138485680659082
Brevundimonas nasdae	2	0.005	9.06826874059472e-06	0.0	0.0018533227429176596
Mesorhizobium sp. Pch-S	2	0.005	8.973038514829576e-06	0.0	0.0022945900626599593
Escherichia fergusonii	2	0.005	8.916475350564733e-06	0.0	0.0029518549374145044
Paracoccus yeei	2	0.005	8.473092793903004e-06	0.0	0.002550019615535504
Rhodococcus fascians	2	0.005	8.373951939654798e-06	0.0	0.0026476039184537992
Enterococcus cecorum	2	0.005	8.340591278405694e-06	0.0	0.0030006177742476397
Macrococcus epidermidis	2	0.005	8.218373153702211e-06	0.0	0.0029517305243662467
Methylorubrum extorquens	2	0.005	8.089246337998814e-06	0.0	0.0019223224794036875
Acinetobacter sp. SCLZS86	2	0.005	7.897263906611202e-06	0.0	0.0030685141679052596
Mycolicibacterium smegmatis	2	0.005	7.24350928155276e-06	0.0	0.002840909090909091
Deinococcus geothermalis	2	0.005	7.179807233553839e-06	0.0	0.0022063365987115
Rothia kristinae	2	0.005	7.086484846906494e-06	0.0	0.0027780993170505846
Akkermansia muciniphila	2	0.005	6.974703383994349e-06	0.0	0.002471557473519027
Cryptobacterium curtum	2	0.005	6.78931924954042e-06	0.0	0.0026140373807345446
Lawsonella clevelandensis	2	0.005	6.7184934657356494e-06	0.0	0.0026673779674579886
Aquitalea aquatilis	2	0.005	6.69057002484422e-06	0.0	0.00239309533150255
Acidovorax carolinensis	2	0.005	6.6692021308281826e-06	0.0	0.002236171047469596
Pseudoxanthomonas mexicana	2	0.005	6.625469935357043e-06	0.0	0.0014515496273048254
Comamonas kerstersii	2	0.005	6.533915803555101e-06	0.0	0.0014758652621831233
Parabacteroides distasonis	2	0.005	6.500170406565454e-06	0.0	0.002550019615535504
Pseudomonas syringae	2	0.005	6.4887034355514296e-06	0.0	0.0025107885445272656
Peptoniphilus harei	2	0.005	6.391501875119596e-06	0.0	0.0025465910406297027
Sphingomonas sp. RMG20	2	0.005	5.666639198459017e-06	0.0	0.0018830914083954491
Sphingomonas sp. HMP6	2	0.005	5.601040905252308e-06	0.0	0.0015342570839526298
Corynebacterium ureicelerivorans	2	0.005	5.552241325894544e-06	0.0	0.0013238019592268996
Acinetobacter sp. C16S1	2	0.005	5.437532477800205e-06	0.0	0.0014515496273048254
Sphingomonas sp. KC8	2	0.005	5.22210183881926e-06	0.0	0.0011472950313299796
Pedobacter sp. D749	2	0.005	4.633635773695683e-06	0.0	0.0011472950313299796
Mycobacterium sp. IDR2000157661	2	0.005	4.56565268107044e-06	0.0	0.0013338564142801098
Sphingomonas panacisoli	2	0.005	4.553761602852873e-06	0.0	0.0012553942722636328
Flavobacterium sp. GENT5	2	0.005	4.466451076665614e-06	0.0	0.0012946253432718712
Paraburkholderia megapolitana	2	0.005	4.32660609093825e-06	0.0	0.001412318556296587
Rhizorhabdus wittichii	2	0.005	4.308928307187681e-06	0.0	0.0008630835621812476
Paraburkholderia dioscoreae	2	0.005	4.219359550046401e-06	0.0	0.001647704982346018
Methylophilus sp. TWE2	2	0.005	3.9556664257101064e-06	0.0	0.0008630835621812476
Sphingomonas sp. CL5.1	2	0.005	3.914904632713119e-06	0.0	0.0007846214201647705
Cupriavidus basilensis	2	0.005	3.847405983367279e-06	0.0	0.0009023146331894861
Staphylococcus saccharolyticus	2	0.005	3.762895478224792e-06	0.0	0.001313376055795838
Massilia sp. LPB0304	2	0.005	3.759511070668914e-06	0.0	0.0007846214201647705
Paraburkholderia acidiphila	2	0.005	3.6818296565008434e-06	0.0	0.000980776775205963
Desulfovibrio desulfuricans	2	0.005	3.597903501253073e-06	0.0	0.0014179881930779026
Edaphobacter flagellatus	2	0.005	3.365999519779262e-06	0.0	0.0013238019592268996
Rhizobium sp. ACO-34A	2	0.005	3.363141270389146e-06	0.0	0.0007699101016734223
Petrimonas mucosa	2	0.005	3.356347252291111e-06	0.0	0.0008630835621812476
Acinetobacter schindleri	2	0.005	3.295339433440786e-06	0.0	0.0012680872262856365
Pluralibacter gergoviae	2	0.005	3.2012016343467987e-06	0.0	0.0012465838807115116
Paraburkholderia tropica	2	0.005	3.062114219729322e-06	0.0	0.000745390349156532
Cupriavidus campinensis	2	0.005	3.004177915403817e-06	0.0	0.0006524361720461876
Salinicoccus halodurans	2	0.005	2.9613638780281577e-06	0.0	0.0009260331056835283
Caballeronia grimmiae	2	0.005	2.9438232315785283e-06	0.0	0.0006276971361318164
Pseudarthrobacter phenanthrenivorans	2	0.005	2.9204642278823197e-06	0.0	0.0007846214201647705
Bacteroides caccae	2	0.005	2.87735458828567e-06	0.0	0.000980776775205963
Flavobacterium channae	2	0.005	2.8441727075249267e-06	0.0	0.0007061592781482935
Rhodopseudomonas sp. SK50-23	2	0.005	2.8223865503617237e-06	0.0	0.000745390349156532
Methanobacterium formicicum	2	0.005	2.8114535014939387e-06	0.0	0.0005753464064822361
Sphingomonas cannabina	2	0.005	2.803507803737046e-06	0.0	0.0006113991983877177
Anaerostipes hadrus	2	0.005	2.7929312907618635e-06	0.0	0.0007699101016734223
Streptococcus phage SpSL1	2	0.005	2.751387720164957e-06	0.0	0.0010892561637235803
Aeromonas media	2	0.005	2.7243088728411273e-06	0.0	0.0007061592781482935
Acinetobacter pseudolwoffii	2	0.005	2.6232551805240364e-06	0.0	0.0009589106774703937
Staphylococcus nepalensis	2	0.005	2.5963310559955955e-06	0.0	0.0007061592781482935
Rhizobacter sp. AJA081-3	2	0.005	2.561207895567516e-06	0.0	0.0007061592781482935
Capnocytophaga sp. oral taxon 902	2	0.005	2.4889422876013165e-06	0.0	0.0009054895302773062
Paraburkholderia terricola	2	0.005	2.331998162758742e-06	0.0	0.0005492349941153393
Serinicoccus profundi	2	0.005	2.3056601698481913e-06	0.0	0.000910965143596874
Escherichia albertii	2	0.005	2.258288455696648e-06	0.0	0.00046105140210854175
Cardiobacterium sp. Marseille-Q4385	2	0.005	2.1515155066069336e-06	0.0	0.0008405867838065023
Bacteroides faecis	2	0.005	2.1257945128640736e-06	0.0	0.0008102789674730871
Comamonas serinivorans	2	0.005	2.0704843362279406e-06	0.0	0.0005884660651235778
Capnocytophaga sp. oral taxon 864	2	0.005	2.055190101083582e-06	0.0	0.0007419983650883481
Gordonia bronchialis	2	0.005	2.0180481721239394e-06	0.0	0.0007846214201647705
Ottowia oryzae	2	0.005	1.9212791481657964e-06	0.0	0.00039231071008238524
Clavibacter michiganensis	2	0.005	1.919970494603343e-06	0.0	0.000745390349156532
Thauera humireducens	2	0.005	1.8917231837473365e-06	0.0	0.000745390349156532
Streptococcus dysgalactiae	2	0.005	1.7991017453430777e-06	0.0	0.0004293591250112989
Neisseria sp. ZJ785	2	0.005	1.7126568253443931e-06	0.0	0.0005649462171201301
Sphingomonas sanxanigenens	2	0.005	1.6982146914568105e-06	0.0	0.000656688027897919
Ornithobacterium rhinotracheale	2	0.005	1.4838671500034995e-06	0.0	0.00046778442524066284
Streptococcus sp. NSJ-72	2	0.005	1.3496077840176397e-06	0.0	0.0003703592484710169
Microbacterium aurum	2	0.005	1.3304813657234683e-06	0.0	0.0005208936219469847
Alistipes finegoldii	2	0.005	1.2858629160631702e-06	0.0	0.00027461749705766966
Streptococcus uberis	2	0.005	1.2592589562261717e-06	0.0	0.0004924046581480661
Porphyromonas cangingivalis	2	0.005	1.2290000939985934e-06	0.0	0.0004315417810906238
Acinetobacter calcoaceticus	2	0.005	1.074607209420647e-06	0.0	0.0004185439594258562
Peptacetobacter hiranonis	2	0.005	9.714655715615338e-07	0.0	0.0003772873042822109
Lactococcus lactis	2	0.005	9.682531307596635e-07	0.0	0.0003472624146313231
Streptococcus sp. HSISS2	2	0.005	9.281781959975459e-07	0.0	0.00027117418421766245
Kinneretia sp. DAIF2	2	0.005	8.964033474343142e-07	0.0	0.0003472624146313231
Neisseria dentiae	2	0.005	8.563284126721966e-07	0.0	0.00028247310856006506
Prevotella ruminicola	2	0.005	8.559571341702006e-07	0.0	0.00033237314424994463
Neisseria weaveri	2	0.005	7.998337909601837e-07	0.0	0.0002598752598752599
Chryseobacterium shandongense	2	0.005	7.756776298148082e-07	0.0	0.00028767320324111806
Neisseria dumasiana	2	0.005	7.71586480104177e-07	0.0	0.0002485763355328573
Thermaerobacter sp. FW80	2	0.005	7.474303189588017e-07	0.0	0.00028767320324111806
Sodaliphilus pleomorphus	2	0.005	7.10301329584547e-07	0.0	0.0002641011129975476
Neisseria sp. Dent CA1/247	2	0.005	6.796384479748213e-07	0.0	0.00017016506010830506
Capnocytophaga canimorsus	2	0.005	5.717062245341196e-07	0.0	0.00018864365214110544
Histophilus somni	2	0.005	5.675337987610054e-07	0.0	0.00020699410066813098
Phoenix dactylifera	2	0.005	5.359499604472099e-07	0.0	0.00019178213549407873
Prevotella sp. E9-3	2	0.005	5.152413422985963e-07	0.0	0.00017606740866503174
Neisseria animaloris	2	0.005	3.9147928973342235e-07	0.0	0.00010009709418135592
Neisseria canis	2	0.005	3.2285254371874046e-07	0.0	7.909247039681821e-05
Neisseria shayeganii	2	0.005	3.0427434479473654e-07	0.0	0.00010169031908162343
Wielerella bovis	2	0.005	2.9782827017340145e-07	0.0	7.909247039681821e-05
Vitreoscilla massiliensis	2	0.005	2.817130836200638e-07	0.0	9.008738476322033e-05
Kingella kingae	2	0.005	2.6958095931739494e-07	0.0	6.779354605441561e-05
Neisseria musculi	2	0.005	2.44556685772056e-07	0.0	6.779354605441561e-05
Gemella sp. ND 6198	2	0.005	2.3811061115072094e-07	0.0	5.004854709067796e-05
Streptococcus gallolyticus	2	0.005	2.3811061115072094e-07	0.0	5.004854709067796e-05
Aggregatibacter actinomycetemcomitans	2	0.005	2.2844149921871837e-07	0.0	8.007767534508475e-05
Gemella sp. oral taxon 928	2	0.005	2.1308633760538198e-07	0.0	4.519569736961041e-05
Neisseria arctica	2	0.005	2.0986330029471443e-07	0.0	5.004854709067796e-05
Streptococcus equinus	2	0.005	2.0986330029471443e-07	0.0	5.004854709067796e-05
Odoribacter splanchnicus	2	0.005	2.0341722567337936e-07	0.0	7.006796592694914e-05
Neisseria zalophi	2	0.005	1.94508138681378e-07	0.0	6.779354605441561e-05
Kangiella profundi	2	0.005	1.8806206406004296e-07	0.0	4.519569736961041e-05
Bacteroides sp. CBA7301	2	0.005	1.533686785827014e-07	0.0	5.004854709067796e-05
Pasteurella multocida	2	0.005	1.3156744234802995e-07	0.0	3.0029128254406776e-05
Streptococcus himalayensis	2	0.005	1.2834440503736245e-07	0.0	4.003883767254237e-05
Streptococcus phage PH10	2	0.005	1.2834440503736245e-07	0.0	4.003883767254237e-05
Glaesserella parasuis	2	0.005	1.0654316880269099e-07	0.0	2.2597848684805206e-05
Streptococcus sp. zg-86	2	0.005	1.0332013149202345e-07	0.0	3.0029128254406776e-05
Capnocytophaga haemolytica	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Paralysiella testudinis	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Pseudoleptotrichia goodfellowii	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Streptococcus iniae	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Streptococcus merionis	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Streptococcus respiraculi	2	0.005	7.829585794668448e-08	0.0	2.0019418836271186e-05
Carya illinoinensis	2	0.005	5.3271584401345494e-08	0.0	1.1298924342402603e-05
Kurthia zopfii	2	0.005	5.3271584401345494e-08	0.0	1.1298924342402603e-05
Streptococcus pluranimalium	2	0.005	5.3271584401345494e-08	0.0	1.1298924342402603e-05
Legionella longbeachae	1	0.0025	0.0025	0.0	1.0
Morganella morganii	1	0.0025	0.00209619389713109	0.0	0.838477558852436
Nocardia wallacei	1	0.0025	0.0019646812403698	0.0	0.7858724961479199
Roseomonas haemaphysalidis	1	0.0025	0.0010681818181818182	0.0	0.42727272727272725
Glycine soja	1	0.0025	0.0009040515653775321	0.0	0.36162062615101287
Glycine max	1	0.0025	0.0008915285451197053	0.0	0.3566114180478821
Acinetobacter sp. C32I	1	0.0025	0.0008614272268332335	0.0	0.3445708907332934
Talaromyces rugulosus	1	0.0025	0.000800165347820952	0.0	0.3200661391283808
Olea europaea	1	0.0025	0.0006113647894469813	0.0	0.2445459157787925
Legionella pneumophila	1	0.0025	0.0005238640078457013	0.0	0.2095456031382805
Aspergillus flavus	1	0.0025	0.00048768886401790714	0.0	0.19507554560716286
Acinetobacter dispersus	1	0.0025	0.00046526054590570714	0.0	0.18610421836228286
Alcyoneusvirus K641	1	0.0025	0.0004593375054396253	0.0	0.18373500217585012
Brassica napus	1	0.0025	0.00039303761931499154	0.0	0.15721504772599662
Torque teno virus 22	1	0.0025	0.00034663036616161617	0.0	0.13865214646464646
Torque teno virus 16	1	0.0025	0.0002933633207070707	0.0	0.11734532828282827
Alcyoneusvirus RaK2	1	0.0025	0.00026130924011024304	0.0	0.10452369604409723
Diaphorobacter sp. MNS-0	1	0.0025	0.0002106761071775649	0.0	0.08427044287102596
Aspergillus luchuensis	1	0.0025	0.0002025510806661155	0.0	0.0810204322664462
Bradyrhizobium elkanii	1	0.0025	0.00019376181474480152	0.0	0.07750472589792061
Cercospora beticola	1	0.0025	0.00018896893823077833	0.0	0.07558757529231133
Diaphorobacter sp. JS3051	1	0.0025	0.00015097875885047897	0.0	0.060391503540191585
Stenotrophomonas sp. LM091	1	0.0025	0.00014953959484346224	0.0	0.059815837937384896
Acinetobacter colistiniresistens	1	0.0025	0.00013861555574570033	0.0	0.05544622229828013
Azorhizobium caulinodans	1	0.0025	0.00011404753458673289	0.0	0.045619013834693155
Stenotrophomonas sp. PAMC25021	1	0.0025	0.00011002948008791944	0.0	0.04401179203516777
Pseudomonas synxantha	1	0.0025	8.992199537750386e-05	0.0	0.03596879815100154
Burkholderia stabilis	1	0.0025	8.684576192681798e-05	0.0	0.034738304770727195
Shigella flexneri	1	0.0025	8.462854625370123e-05	0.0	0.03385141850148049
Burkholderia aenigmatica	1	0.0025	6.536501033720682e-05	0.0	0.026146004134882727
[Acidovorax] ebreus	1	0.0025	6.386227960571985e-05	0.0	0.025544911842287937
Hordeum vulgare	1	0.0025	5.733944954128441e-05	0.0	0.022935779816513763
Bradyrhizobium arachidis	1	0.0025	5.356017643352238e-05	0.0	0.021424070573408952
Nocardia terpenica	1	0.0025	5.043817411402157e-05	0.0	0.020175269645608628
Nocardia asteroides	1	0.0025	4.550269645608628e-05	0.0	0.018201078582434513
Slopekvirus pht4A	1	0.0025	3.994239177735872e-05	0.0	0.01597695671094349
Trifolium pratense	1	0.0025	3.782965845222654e-05	0.0	0.015131863380890617
Bifidobacterium longum	1	0.0025	3.555792957539957e-05	0.0	0.014223171830159828
Halalkalicoccus jeotgali	1	0.0025	3.440366972477064e-05	0.0	0.013761467889908256
Murdochiella vaginalis	1	0.0025	3.105299711507639e-05	0.0	0.012421198846030558
Proteus terrae	1	0.0025	3.071324940328544e-05	0.0	0.012285299761314176
Naumovozyma castellii	1	0.0025	2.970573844970993e-05	0.0	0.011882295379883973
Nocardia nova	1	0.0025	2.8890600924499227e-05	0.0	0.011556240369799691
Metamycoplasma hyosynoviae	1	0.0025	2.8834402688664835e-05	0.0	0.011533761075465934
Klebsiella virus PMBT1	1	0.0025	2.880411132063742e-05	0.0	0.011521644528254969
Enterobacter hormaechei	1	0.0025	2.8461742123378342e-05	0.0	0.011384696849351337
Pseudomonas sp. R2-7-07	1	0.0025	2.5593504545053395e-05	0.0	0.010237401818021357
Cloacibacterium normanense	1	0.0025	2.5171405283597833e-05	0.0	0.010068562113439133
Pseudomonas lundensis	1	0.0025	2.4852245193722966e-05	0.0	0.009940898077489187
Tripterygium wilfordii	1	0.0025	2.409944190766109e-05	0.0	0.009639776763064435
Nocardia cyriacigeorgica	1	0.0025	2.275134822804314e-05	0.0	0.009100539291217256
Musa acuminata	1	0.0025	2.1562658548959923e-05	0.0	0.008625063419583969
Burkholderia pseudomallei	1	0.0025	2.11847783444488e-05	0.0	0.00847391133777952
Nocardia farcinica	1	0.0025	2.05845531587057e-05	0.0	0.00823382126348228
Malus sylvestris	1	0.0025	2.005910834433755e-05	0.0	0.00802364333773502
Nocardia brasiliensis	1	0.0025	1.986228813559322e-05	0.0	0.007944915254237288
Burkholderia orbicola	1	0.0025	1.8928991761475088e-05	0.0	0.0075715967045900355
Bradyrhizobium genosp. B	1	0.0025	1.890359168241966e-05	0.0	0.007561436672967865
Methylobacterium sp. XJLW	1	0.0025	1.7869545086236833e-05	0.0	0.007147818034494734
Sphingobium fuliginis	1	0.0025	1.785013730874853e-05	0.0	0.007140054923499411
Rhodopseudomonas palustris	1	0.0025	1.7328292375551355e-05	0.0	0.006931316950220543
Sphingobacterium mizutaii	1	0.0025	1.720183486238532e-05	0.0	0.006880733944954128
Gamaleyavirus APEC5	1	0.0025	1.6988791810078544e-05	0.0	0.006795516724031418
Populus trichocarpa	1	0.0025	1.6489091831557584e-05	0.0	0.006595636732623034
Brevundimonas sp. SGAir0440	1	0.0025	1.6280894468418987e-05	0.0	0.006512357787367595
Lacticaseibacillus rhamnosus	1	0.0025	1.4654959188721247e-05	0.0	0.005861983675488499
Bradyrhizobium sp. CCBAU 051011	1	0.0025	1.4177693761814749e-05	0.0	0.005671077504725899
Slopekvirus kp15	1	0.0025	1.3832190148579481e-05	0.0	0.005532876059431793
Pseudomonas sp. Lz4W	1	0.0025	1.3730874852883482e-05	0.0	0.005492349941153393
Fusobacterium gonidiaformans	1	0.0025	1.3630711347766475e-05	0.0	0.00545228453910659
Acinetobacter pittii	1	0.0025	1.3238447033296308e-05	0.0	0.0052953788133185235
Pseudomonas sediminis	1	0.0025	1.2603528988116671e-05	0.0	0.005041411595246669
Slopekvirus kp27	1	0.0025	1.2018981702136477e-05	0.0	0.004807592680854591
Rhodococcus sp. ABRD24	1	0.0025	1.1917372881355932e-05	0.0	0.004766949152542373
