species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Neisseria elongata	23	0.0575	0.001302572871986282	0.0	0.30892857142857144
Treponema vincentii	23	0.0575	0.0005851736666870186	0.0	0.06176660219213411
Haemophilus haemolyticus	23	0.0575	0.00047914020424898564	0.0	0.04424026265441576
Streptococcus australis	23	0.0575	0.0003073004721848872	0.0	0.013607467923404587
Neisseria flavescens	22	0.055	0.000907991464605067	0.0	0.061353159179246136
Tannerella serpentiformis	22	0.055	0.0005993720040918967	0.0	0.0793160118954453
Xanthomonas campestris	21	0.0525	0.0019578287645875595	0.0	0.28622327790973867
Leptotrichia wadei	21	0.0525	0.00057740182806588	0.0	0.13678105364910584
Actinomyces pacaensis	21	0.0525	0.0001930683168615786	0.0	0.03161019045263418
Candida albicans	20	0.05	0.00831559298525998	0.0	0.995973342507996
Leptotrichia sp. oral taxon 212	20	0.05	7.578793472326774e-05	0.0	0.0061204702460307845
Porphyromonas sp. oral taxon 275	20	0.05	4.722038086928107e-05	0.0	0.004826661559088298
Stenotrophomonas maltophilia	19	0.0475	0.011114743296242747	0.0	0.954902850230589
Haemophilus parahaemolyticus	19	0.0475	0.002984533070535787	0.0	1.0
Abiotrophia defectiva	19	0.0475	0.0009456833922292987	0.0	0.2079207920792079
Streptococcus koreensis	19	0.0475	0.0006286874211214223	0.0	0.062205062205062195
Streptococcus anginosus	18	0.045	0.0003260820664529341	0.0	0.023577603658100934
Prevotella sp. oral taxon 475	18	0.045	0.00024163166194464143	0.0	0.026616700297876425
Lancefieldella parvula	18	0.045	5.3407772297323334e-05	0.0	0.0029113776639105625
Prevotella enoeca	17	0.0425	0.0009409023856316176	0.0	0.3309690878058032
Streptococcus rubneri	17	0.0425	0.0007117468262424158	0.0	0.13790452226182986
Treponema medium	17	0.0425	0.00025032075013834283	0.0	0.02911509900990099
Streptococcus sp. A12	17	0.0425	0.00010207650369625947	0.0	0.01028108214980064
Methylobacterium brachiatum	16	0.04	0.0038915880153510512	0.0	1.0
Metamycoplasma salivarium	16	0.04	0.0005605280968338725	0.0	0.045905502831874105
Prevotella fusca	16	0.04	0.00036859975653746977	0.0	0.0766367862366588
Actinomyces sp. oral taxon 414	16	0.04	0.00018524735512099604	0.0	0.04669849772912542
Streptococcus sp. NPS 308	16	0.04	0.0001420447738651606	0.0	0.010537960608099632
Mogibacterium pumilum	16	0.04	0.0001351843956656757	0.0	0.0303004401897517
Streptococcus intermedius	15	0.0375	0.0011981811810223796	0.0	0.2077255568354185
