depth	healthy_control_retained	healthy_control_total	idiopathic_central_precocious_puberty_retained	idiopathic_central_precocious_puberty_total	retained_fraction	retained_samples
10	23	23	25	25	1.0	48
50	23	23	25	25	1.0	48
100	23	23	25	25	1.0	48
500	23	23	25	25	1.0	48
1000	23	23	25	25	1.0	48
2000	23	23	25	25	1.0	48
5000	23	23	25	25	1.0	48
10000	23	23	24	25	0.9791666666666666	47
20000	22	23	19	25	0.8541666666666666	41
