species	detected_runs	SRR27343287	SRR27343292	SRR27343320	SRR27343328	SRR27343357	SRR27343483	SRR27343528	SRR27343727	SRR27343762	SRR27343767	SRR27343773	SRR27343780	SRR27343786	SRR27343811	SRR27343819	SRR27343859	SRR27343869	SRR27343923	SRR27343937	SRR27344039	SRR27343271	SRR27343279	SRR27343282	SRR27343285	SRR27343295	SRR27343309	SRR27343318	SRR27343423	SRR27343473	SRR27343482	SRR27343487	SRR27343507	SRR27343511	SRR27343529	SRR27343588	SRR27343697	SRR27343701	SRR27343702	SRR27344010	SRR27344043	SRR27343703	SRR27343710	SRR27343724	SRR27343741	SRR27343746	SRR27343748	SRR27343750	SRR27343759	SRR27343763	SRR27343770	SRR27343772	SRR27343775	SRR27343783	SRR27343784	SRR27343785	SRR27343788	SRR27343803	SRR27343812	SRR27343813	SRR27343959	SRR27343278	SRR27343300	SRR27343308	SRR27343312	SRR27343315	SRR27343329	SRR27343435	SRR27343470	SRR27343477	SRR27343496	SRR27343505	SRR27343506	SRR27343513	SRR27343521	SRR27343747	SRR27344016	SRR27344018	SRR27344022	SRR27344038	SRR27344048	SRR27343749	SRR27343756	SRR27343764	SRR27343768	SRR27343769	SRR27343774	SRR27343781	SRR27343795	SRR27343797	SRR27343798	SRR27343818	SRR27343821	SRR27343828	SRR27343830	SRR27343837	SRR27343841	SRR27343843	SRR27343851	SRR27343856	SRR27343860	SRR27343239	SRR27343270	SRR27343274	SRR27343283	SRR27343290	SRR27343303	SRR27343305	SRR27343316	SRR27343319	SRR27343326	SRR27343333	SRR27343412	SRR27343480	SRR27343481	SRR27343486	SRR27344015	SRR27344017	SRR27344027	SRR27344037	SRR27344042	SRR27343492	SRR27343498	SRR27343501	SRR27343502	SRR27343509	SRR27343520	SRR27343522	SRR27343526	SRR27343527	SRR27343696	SRR27343708	SRR27343717	SRR27343730	SRR27343735	SRR27343736	SRR27343742	SRR27343743	SRR27343745	SRR27343758	SRR27343789	SRR27343275	SRR27343276	SRR27343281	SRR27343306	SRR27343317	SRR27343321	SRR27343322	SRR27343330	SRR27343331	SRR27343791	SRR27343796	SRR27343836	SRR27343846	SRR27343852	SRR27343857	SRR27343898	SRR27344024	SRR27344026	SRR27344030	SRR27344040	SRR27343462	SRR27343466	SRR27343474	SRR27343476	SRR27343478	SRR27343493	SRR27343514	SRR27343602	SRR27343664	SRR27343714	SRR27343716	SRR27343737	SRR27343751	SRR27343766	SRR27343771	SRR27343782	SRR27343794	SRR27343816	SRR27343825	SRR27343827	SRR27343200	SRR27343223	SRR27343261	SRR27343273	SRR27343291	SRR27343296	SRR27343302	SRR27343383	SRR27343394	SRR27343436	SRR27343503	SRR27343512	SRR27343519	SRR27343831	SRR27343864	SRR27343866	SRR27344012	SRR27344031	SRR27344033	SRR27344044	SRR27343554	SRR27343636	SRR27343686	SRR27343709	SRR27343711	SRR27343713	SRR27343718	SRR27343721	SRR27343722	SRR27343728	SRR27343732	SRR27343740	SRR27343754	SRR27343755	SRR27343760	SRR27343779	SRR27343787	SRR27343800	SRR27343822	SRR27343934	SRR27343313	SRR27343458	SRR27343468	SRR27343516	SRR27343577	SRR27343601	SRR27343704	SRR27343705	SRR27343707	SRR27343719	SRR27343720	SRR27343731	SRR27343739	SRR27343744	SRR27343804	SRR27343807	SRR27344029	SRR27344035	SRR27344041	SRR27344045	SRR27343304	SRR27343307	SRR27343471	SRR27343491	SRR27343706	SRR27343723	SRR27343733	SRR27343777	SRR27343790	SRR27343814	SRR27343826	SRR27343829	SRR27343832	SRR27343839	SRR27343844	SRR27343847	SRR27343861	SRR27343912	SRR27344023	SRR27344034	SRR27343267	SRR27343288	SRR27343401	SRR27343467	SRR27343497	SRR27343523	SRR27343624	SRR27343699	SRR27343734	SRR27343806	SRR27343850	SRR27343854	SRR27343862	SRR27343865	SRR27343867	SRR27343868	SRR27343887	SRR27343982	SRR27344021	SRR27344046	SRR27343191	SRR27343192	SRR27343289	SRR27343298	SRR27343299	SRR27343301	SRR27343311	SRR27343508	SRR27343517	SRR27343525	SRR27343543	SRR27343726	SRR27343738	SRR27343799	SRR27343817	SRR27343823	SRR27343842	SRR27343855	SRR27343948	SRR27344047	SRR27343222	SRR27343269	SRR27343332	SRR27343335	SRR27343479	SRR27343499	SRR27343500	SRR27343515	SRR27343518	SRR27343761	SRR27343765	SRR27343776	SRR27343815	SRR27343820	SRR27343824	SRR27343834	SRR27343840	SRR27343848	SRR27343870	SRR27343993	SRR27343277	SRR27343280	SRR27343286	SRR27343293	SRR27343324	SRR27343464	SRR27343475	SRR27343510	SRR27343524	SRR27343712	SRR27343725	SRR27343793	SRR27343805	SRR27343808	SRR27343833	SRR27343853	SRR27343971	SRR27344011	SRR27344014	SRR27344032	SRR27343250	SRR27343266	SRR27343297	SRR27343314	SRR27343325	SRR27343327	SRR27343447	SRR27343465	SRR27343469	SRR27343472	SRR27343484	SRR27343488	SRR27343494	SRR27343532	SRR27343555	SRR27343752	SRR27343778	SRR27343838	SRR27344019	SRR27344028	SRR27343272	SRR27343284	SRR27343294	SRR27343310	SRR27343485	SRR27343504	SRR27343566	SRR27343613	SRR27343647	SRR27343675	SRR27343700	SRR27343715	SRR27343792	SRR27343802	SRR27343835	SRR27343845	SRR27343863	SRR27344009	SRR27344020	SRR27344036	SRR27343211	SRR27343268	SRR27343323	SRR27343346	SRR27343372	SRR27343489	SRR27343490	SRR27343495	SRR27343698	SRR27343729	SRR27343753	SRR27343757	SRR27343801	SRR27343809	SRR27343849	SRR27343858	SRR27343876	SRR27344000	SRR27344013	SRR27344025
Homo sapiens	400	0.28314	0.43052	0.53455	0.61887	0.3562	0.60118	0.31067	0.39514	0.33131	0.45598	0.48705	0.47984	0.54511	0.28586	0.52987	0.26329	0.66946	0.35714	0.20124	0.08115	0.25812	0.36951	0.35129	0.19849	0.35121	0.43991	0.46326	0.42924	0.50375	0.32023	0.3198	0.36939	0.4005	0.30298	0.41565	0.44954	0.24226	0.30041	0.38057	0.5683	0.26041	0.31361	0.50332	0.4636	0.43386	0.43268	0.4023	0.3276	0.4653	0.56353	0.25582	0.5806	0.58716	0.49622	0.44428	0.31795	0.45077	0.37983	0.62776	0.27721	0.38704	0.265	0.43412	0.30123	0.39023	0.38725	0.48496	0.25778	0.49481	0.26725	0.32022	0.33664	0.12491	0.2637	0.46722	0.45224	0.52629	0.35704	0.22204	0.37007	0.36292	0.25039	0.3946	0.36695	0.20511	0.51523	0.1839	0.50244	0.48235	0.39648	0.16798	0.16428	0.34583	0.32728	0.36916	0.40291	0.54837	0.47745	0.34906	0.4654	0.21361	0.34821	0.43276	0.11623	0.4465	0.31835	0.37073	0.16219	0.23756	0.30571	0.56376	0.50658	0.48747	0.21646	0.3002	0.41628	0.27566	0.12896	0.30189	0.13201	0.55476	0.15834	0.448	0.32615	0.32953	0.25752	0.30222	0.28139	0.35785	0.38824	0.26829	0.55315	0.37574	0.22844	0.54077	0.43633	0.33258	0.33142	0.11595	0.48237	0.76655	0.04414	0.40653	0.3167	0.30903	0.28567	0.48378	0.40933	0.35989	0.24137	0.27492	0.2268	0.21265	0.53403	0.41261	0.44569	0.51366	0.20547	0.32969	0.07889	0.37086	0.37317	0.248	0.22247	0.39657	0.16976	0.60912	0.34262	0.25986	0.21828	0.32417	0.1872	0.54088	0.15168	0.20457	0.41757	0.17471	0.17065	0.3559	0.32074	0.48151	0.50678	0.1501	0.36254	0.12385	0.21071	0.52986	0.14858	0.14398	0.41573	0.23851	0.32091	0.74719	0.49199	0.34758	0.06582	0.07333	0.24014	0.23292	0.29674	0.38648	0.35875	0.34601	0.34397	0.29459	0.28317	0.47434	0.11477	0.30383	0.22214	0.20637	0.30687	0.17423	0.38598	0.28297	0.18498	0.32214	0.36275	0.37507	0.41884	0.2538	0.23804	0.11547	0.08117	0.03098	0.25	0.21965	0.45985	0.15593	0.15528	0.31788	0.29514	0.31901	0.23991	0.28149	0.22818	0.31935	0.1496	0.3147	0.44615	0.33042	0.39594	0.23468	0.37769	0.20185	0.4751	0.38512	0.30563	0.36891	0.20252	0.06788	0.50799	0.30264	0.0611	0.61506	0.43152	0.16449	0.35601	0.11156	0.32808	0.06308	0.24528	0.31464	0.34525	0.08583	0.06652	0.38533	0.1135	0.13994	0.52303	0.06457	0.2046	0.44128	0.27456	0.06707	0.08842	0.46968	0.05122	0.06838	0.33623	0.50527	0.39665	0.04727	0.58278	0.67785	0.3441	0.10824	0.05505	0.74422	0.12383	0.09048	0.09087	0.0663	0.17805	0.35509	0.10298	0.36471	0.32303	0.12966	0.16998	0.12758	0.07909	0.08957	0.10369	0.05077	0.17663	0.74373	0.38089	0.35048	0.35636	0.15784	0.16364	0.32695	0.24794	0.28084	0.09231	0.24816	0.13417	0.16703	0.05655	0.08779	0.42638	0.05096	0.74118	0.17318	0.18002	0.02596	0.29145	0.01598	0.0746	0.0325	0.08384	0.14252	0.28935	0.29872	0.18174	0.03606	0.05015	0.06064	0.06041	0.05269	0.0194	0.38331	0.74465	0.06333	0.15609	0.03278	0.04604	0.05455	0.0452	0.04009	0.02978	0.0172	0.0887	0.01791	0.07188	0.07525	0.05404	0.07364	0.00287	0.0029	0.01902	0.00262	0.02263	0.02101	0.03101	0.01801	0.03748	0.01895	0.01964	0.60888	0.29611	0.25785	0.02267	0.03372	0.28367	0.26597	0.03527	0.01377	0.0111	0.00457	0.03182	0.01149	0.01073	0.00496	0.00413	0.00142	0.00162	0.01257	0.00203	0.01649	0.00192	0.0236	0.01217	0.02002	9e-05	0.01325	0.08143	0.00788	0.00074
Toxoplasma gondii	400	0.19125	0.51063	0.40838	0.28158	0.512	0.33982	0.44269	0.28101	0.2409	0.43599	0.25223	0.23118	0.45435	0.42284	0.31281	0.17367	0.25242	0.60313	0.31332	0.10231	0.16434	0.11185	0.33741	0.17066	0.38856	0.40342	0.35417	0.12014	0.39691	0.20841	0.25216	0.59541	0.38892	0.28468	0.53436	0.34954	0.16923	0.40895	0.55993	0.37407	0.32707	0.26657	0.32466	0.49617	0.48082	0.53222	0.37148	0.27295	0.34265	0.4195	0.22289	0.37999	0.37353	0.3771	0.45724	0.17677	0.48664	0.32799	0.31951	0.57596	0.1131	0.36098	0.27973	0.21199	0.46955	0.34271	0.384	0.23273	0.42567	0.27817	0.28978	0.61039	0.13214	0.40219	0.50509	0.54746	0.33956	0.14669	0.3999	0.30285	0.33333	0.31706	0.37897	0.47455	0.16606	0.34868	0.15011	0.2967	0.2629	0.5499	0.10233	0.21797	0.14792	0.31125	0.21228	0.17991	0.33753	0.31572	0.19532	0.46905	0.18145	0.25418	0.25554	0.08136	0.24784	0.25989	0.41207	0.13928	0.15121	0.47672	0.4078	0.21297	0.38795	0.13722	0.14725	0.52379	0.23717	0.13934	0.38885	0.13201	0.40677	0.08841	0.46874	0.1253	0.23786	0.35678	0.27656	0.2318	0.25938	0.21481	0.18249	0.39796	0.37016	0.19204	0.37524	0.23919	0.26475	0.14727	0.12699	0.30612	0.21152	0.01516	0.54389	0.29554	0.42521	0.68009	0.47125	0.27741	0.34924	0.35698	0.30946	0.34331	0.16766	0.20766	0.26882	0.43477	0.32971	0.14506	0.35512	0.03785	0.37457	0.41113	0.11399	0.17432	0.21404	0.16234	0.19606	0.14749	0.26854	0.25785	0.39306	0.11411	0.44329	0.05486	0.13011	0.25571	0.11572	0.10626	0.32169	0.25865	0.32526	0.46215	0.1211	0.20739	0.11848	0.20465	0.37555	0.05733	0.08664	0.24759	0.21575	0.57798	0.2526	0.44499	0.42515	0.0696	0.13719	0.26144	0.16078	0.36276	0.30461	0.28465	0.30176	0.3388	0.44987	0.14771	0.40553	0.12133	0.29243	0.14935	0.21304	0.23086	0.07116	0.11555	0.3205	0.08901	0.32556	0.29643	0.41377	0.1981	0.2875	0.23245	0.1218	0.0652	0.0284	0.32031	0.11837	0.34191	0.13776	0.25427	0.37539	0.30031	0.2687	0.18379	0.2446	0.15855	0.17804	0.1342	0.25426	0.39867	0.52789	0.25222	0.20976	0.28681	0.18182	0.42699	0.32973	0.15371	0.26355	0.11962	0.02263	0.37183	0.38242	0.02956	0.30696	0.17103	0.10051	0.27081	0.07971	0.46048	0.02985	0.15722	0.19653	0.21635	0.03087	0.09417	0.42955	0.09702	0.11478	0.24531	0.03928	0.23259	0.25941	0.25543	0.04817	0.08503	0.3658	0.05404	0.09601	0.32498	0.31184	0.28576	0.03365	0.37161	0.29614	0.24949	0.10687	0.05772	0.20694	0.06706	0.08087	0.05325	0.03018	0.10491	0.1949	0.07179	0.19036	0.22222	0.13286	0.09501	0.12293	0.06306	0.05253	0.08424	0.02844	0.10404	0.19396	0.3611	0.21	0.43008	0.07143	0.046	0.11657	0.12764	0.3812	0.04472	0.21152	0.05641	0.13233	0.03512	0.03386	0.21617	0.02535	0.19642	0.08153	0.11378	0.02405	0.21456	0.009	0.06721	0.04592	0.16237	0.13141	0.33286	0.20014	0.04321	0.03022	0.02806	0.03894	0.02157	0.01601	0.01729	0.08408	0.23388	0.0358	0.13729	0.0163	0.03903	0.03312	0.0245	0.03794	0.01366	0.01635	0.03854	0.01716	0.03887	0.02487	0.02749	0.04051	0.00074	0.00228	0.0098	0.00334	0.01987	0.00876	0.01721	0.0056	0.01673	0.01093	0.00798	0.25832	0.201	0.11834	0.01198	0.01745	0.15573	0.31427	0.03053	0.00424	0.00896	0.00304	0.01095	0.00864	0.00823	0.0031	0.00238	0.00126	0.00145	0.00681	0.00072	0.01021	0.00124	0.01349	0.00393	0.00923	2e-05	0.0099	0.02695	0.00381	0.00028
Arabidopsis thaliana	383	0.37426	0	0.05654	0.09807	0.00406	0.05841	0.24236	0.11733	0.39502	0.10768	0	0.00874	0	0.2726	0.15686	0.0064	0.07811	0.0107	0.00509	0	0.17153	0.51831	0.19861	0.6233	0.24672	0.13669	0.1822	0.01788	0.03233	0.24551	0.42746	0.03469	0.17115	0.41209	0.04965	0.2	0.53949	0.14841	0.0274	0.0571	0.0917	0.27584	0.14038	0.03975	0.042	0.01919	0.0577	0.36671	0.19162	0	0.50918	0.03891	0	0.01762	0.06997	0.50503	0.06188	0.20796	0.05228	0	0.3214	0.28195	0.28547	0.48277	0.00921	0.25473	0.029	0.50929	0.07908	0.45153	0.13261	0.05263	0.70429	0.33214	0.02355	0	0.07273	0.4959	0.02064	0.00404	0.28169	0.41706	0.2259	0.02766	0.05832	0	0.64486	0.18651	0.23357	0	0.62208	0.29326	0.50602	0.33577	0.12455	0.25074	0.10456	0.14169	0.42488	0.05693	0.02143	0.3974	0.28892	0.01037	0.21111	0.40588	0.01746	0.69828	0.61102	0.00554	0.02812	0.00329	0.12084	0.64215	0.29593	0.02256	0.43075	0.36284	0.08057	0.02045	0.03805	0.75179	0.08296	0.49976	0.43238	0.06183	0.18512	0.43447	0.20308	0.31808	0.15428	0.01998	0	0.39355	0.07642	0.08271	0.37903	0.47847	0.75304	0.17716	0.0215	0.00281	0.04928	0.36911	0.25879	0.02804	0.04465	0.16691	0.28821	0.08902	0.24053	0.42949	0.34868	0.24091	0.22385	0.10756	0	0.59571	0.30872	0.0021	0.2098	0.21546	0.25269	0.594	0.28314	0.65093	0.06984	0.47875	0.034	0.50958	0.01838	0.69222	0.01554	0.77675	0.66328	0.29652	0.70584	0.72281	0.30495	0.41717	0.18529	0.02711	0.30301	0.17137	0.25547	0.01213	0.09419	0.54515	0.76081	0.33628	0.48066	0.06125	0	0.00557	0.01939	0	0	0.49225	0.19456	0.03839	0.30523	0.23174	0.31345	0.31403	0.02096	0.53828	0.08882	0.00734	0.33537	0.62821	0.15629	0.46208	0.74061	0.49498	0.39364	0.63468	0.34973	0.33243	0.20726	0.00323	0.45371	0.03576	0.07078	0.85295	0.29353	0.01485	0.62132	0.09709	0.69002	0.03933	0.30651	0.37871	0.31449	0.01192	0.09919	0.61015	0.43623	0.02854	0.02327	0.0684	0.13937	0.35167	0.29229	0.31154	0.59369	0.09767	0.26389	0.43099	0.33077	0.67666	0.76318	0.1168	0.31464	0.01069	0.07189	0.1246	0.00139	0.31741	0.02806	0.0521	0.76072	0.15861	0.09067	0.42501	0.41377	0.00417	0.08022	0.78348	0.16626	0.10877	0.89324	0.43458	0.15564	0.42636	0	0.00231	0.06366	0.00792	0.83447	0.2502	0.17493	0.07719	0.84227	0.04247	0.013	0.4036	0.45183	0.27905	0.03728	0.74763	0.02617	0.82953	0.10993	0.56582	0.28167	0.78913	0.44258	0.01151	0.37813	0.69436	0.21742	0.75435	0.83313	0.62659	0.61271	0.44737	0.01743	0.13871	0.15899	0.04197	0.76215	0.50126	0.55462	0.42626	0.28071	0.79248	0.30811	0.79995	0.45312	0.17019	0.8674	0.2196	0.92047	0.04981	0.64161	0.59299	0.16518	0.44575	0.95949	0.00277	0.00221	0.72618	0.52794	0.27533	0.49738	0.00037	0.07659	0.59782	0.09867	0.42344	0.85876	0.00296	0.20243	0.00108	0.28959	0.64626	0.83662	0.80074	0.49677	0.92803	0.90736	0.95114	0.00125	0.01096	0.96321	0.24334	0.63964	0.89597	0.13269	0.98212	0.00105	0.52735	0.6477	0.08675	0.9638	0.94381	0.00033	0.46702	0.23104	0.15849	0.01059	0	0.21789	0.19148	0.0712	0.47569	0.39217	0.93247	0.7994	0.73924	0.7359	0.93604	0.97786	0.0085	0.78279	0.98916	0.00684	0.05218	0.11276	0.98081	0.17748	0.99219	0.8474	0.35572	0.64514	0.00075	0.97011	0.68166	0.9018	0.11381
Benincasa hispida	176	0	0	0	0	0	0	0.00394	0	0	0	0	0	0	0	0	0	0	0	0.00437	0.00615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00685	0	0	0	0	0	0.00694	0.00411	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.00271	0	0	0	0	0.00418	0	0	0	0.00284	0	0	0.00169	0.00179	0.0035	0	0	0	0	0	0.00348	0	0	0	0	0	0.00127	0	0	0	0	0	0	0.00377	0.00359	0	0.0092	0	0	0.00261	0.00164	0	0	0.0023	0.00543	0	0	0	0	0.00305	0	0	0.00374	0	0	0	0.00221	0	0	0	0	0.00133	0	0	0	0.00189	0	0	0	0	0	0	0	0	0.00708	0.00352	0.00391	0.00458	0	0	0	0	0	0	0.0029	0.0017	0	0.00212	0.00249	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127	0	0	0.00285	0	0	0.00235	0	0	0.00138	0	0	0.00192	0.00945	0.00124	0	0	0.00291	0.00292	0.00364	0	0.00156	0	0.00207	0	0	0.00066	0	0	0.0019	0	0	0	0	0	0.00194	0	0.00241	0.00347	0	0.00746	0	0	0	0	0	0	0	0.00131	0	0	0.00306	0.0026	0.00143	0.00214	0.00325	0.00372	0.00465	0.00133	0	0	0.00062	0	0	0.00151	0.00485	0.00132	0	0	0.00148	0.00245	0	0.00505	0	0.00271	0	0	0	0.00214	0	0	0.00523	0.00152	0	0	0.00785	0.00151	0.00109	0.0017	0.0032	0	0	0.00571	0.00809	0	0	0	0	0	0	0.00307	0.00214	0	0	0.00229	0.00062	0.00072	0.00278	0.00104	0	0	0.00313	0	0	0.00707	0	0.00049	0.00197	0.00756	0.00143	0	0.00314	0.01279	0.00255	0.00166	0	0.00259	0.00116	0	0	0.0006	0	0.00147	0.00121	0.00221	0	0.00142	0.00454	0	0.00069	0.00091	0	0.00049	0.00123	0.00178	0.0032	0.00219	0.00496	0.001	0.00114	0.00173	0	0.00212	0	0	0.00062	0	0	0.00107	0	0.00034	0.00347	0.00074	0.00057	0	0.00167	0.00028	0.00026	0	0.00091	0.00106	0.00186	0.00239	0.00034	0	0.00097	0.00066	0	0	0.00033	0.00281	0.00448	0.00024	0.00124	0.00028	0.00028	0.00028	0.00031	0.00053	0.00019	0	0.0012	0.00021	0.00038	0.00194	0.00041	0.0007	0	0	0	0	0	0.00014	0.00017	0	0.00042	0	0	0.00196	0	0.00136	0	0	0	0.00165	0.00047	0.00012	0.00011	0.00025	0.00017	0	0	0.0001	0.00013	6e-05	3e-05	0	9e-05	0.00022	4e-05	0.0005	0.00011	9e-05	6e-05	0.00024	0.00033	0.00019	2e-05
Prevotella melaninogenica	127	0.01261	0	0	0	0	0	0	0	0.01032	0	0.06964	0	0	0.01122	0	0	0	0	0	0	0.00329	0	0	0.00737	0	0	0	0	0.02577	0.03932	0	0	0.01001	0	0	0	0.00492	0.00412	0	0	0	0	0	0	0.02017	0	0	0	0	0	0.01165	0	0.03233	0	0	0	0	0	0	0	0	0.00626	0	0	0.00531	0.00807	0.02793	0	0	0	0.00435	0	0	0	0	0	0	0	0	0	0	0.01255	0	0	0.00329	0	0	0	0	0	0	0.00471	0	0	0.02725	0.02128	0	0	0	0	0	0	0	0	0.00862	0	0	0	0	0	0	0	0	0	0.00998	0.02644	0	0.0046	0	0	0	0	0	0	0	0.00813	0.00413	0	0.01938	0.00697	0	0	0	0.0036	0	0	0	0	0.00382	0	0	0	0	0.00957	0	0	0	0	0	0	0.00666	0	0	0	0.01329	0	0.0204	0.00711	0.00625	0	0	0	0.00304	0	0	0	0	0	0.00922	0	0.00743	0	0	0	0	0	0	0	0	0	0.0048	0	0.0086	0.00967	0	0	0	0.00707	0	0	0	0.01294	0	0	0	0	0	0	0.03683	0	0	0	0	0	0.19644	0	0	0	0	0	0.00536	0	0.00644	0	0	0	0	0	0	0	0.00355	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0	0	0	0	0.00768	0	0.00675	0	0	0.00785	0	0	0.02535	0	0	0	0	0	0	0.0154	0.06689	0	0.00191	0.02111	0	0	0	0	0	0	0.00568	0	0	0	0	0.00452	0.00424	0	0	0	0	0	0	0	0.00586	0	0	0	0.04698	0.02351	0.00884	0.01102	0	0.00225	0	0.00736	0.04539	0	0	0	0.00632	0	0.12888	0.02134	0	0	0.04032	0.0129	0.00277	0.05126	0.03658	0	0	0	0	0.04117	0	0.00171	0.0536	0	0	0.03104	0	0	0	0.00326	0.00836	0.01129	0	0	0.0021	0.06595	0	0	0.02292	0.0024	0	0	0.07402	0	0.08523	0.10791	0	0	0.06669	0	0.11159	0.00962	0	0.00993	0.03736	0	0	0	0	0	0	0.0721	0	0	0.12639	0	0	0	0	0.06927	0	0.0004	0	0.04566	0.00781	0.04184	0.00615	0	0	0.02161	0.03811	0	0	0	0.0054	0.00054	0.00012	0	0	9e-05	0.01304	0	0.00579	0.00118	0.11622	0	0.27262	3e-05	0	0.08291	0.06407	0.13508	0.00089	0	0.01051	0.0203
Rothia mucilaginosa	107	0.01313	0	0	0	0	0	0	0	0.02124	0	0.05491	0	0	0	0	0	0	0	0	0	0.20218	0	0	0	0	0	0	0	0	0.01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443	0	0	0	0	0.01128	0	0	0	0.00674	0	0.00867	0	0	0	0	0	0	0	0	0.00275	0	0	0.00395	0	0	0.00611	0	0	0	0	0	0	0.00778	0	0	0	0	0	0	0	0	0	0.00351	0	0	0	0	0	0	0	0	0	0.04623	0	0	0	0	0	0	0	0	0	0	0.03403	0	0	0	0	0	0	0	0.0563	0	0	0	0	0	0	0	0	0	0.00378	0	0.00418	0	0	0	0	0	0	0	0	0	0	0	0.02796	0	0.00073	0	0	0	0	0	0.00799	0	0.00861	0.00524	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00924	0.08561	0	0	0	0	0	0	0	0.00759	0	0	0.00879	0	0	0	0.04724	0	0	0	0	0	0	0	0.00619	0	0.00366	0	0.01919	0	0.00604	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0.00617	0.00264	0	0.0124	0.00358	0	0.01531	0	0	0	0	0	0	0	0.04153	0.0028	0.00381	0	0	0	0	0	0.02024	0	0	0.14374	0	0	0	0	0.01593	0	0	0.00278	0	0	0.00154	0	0	0	0.00758	0	0	0	0.00542	0	0.00133	0	0	0	0	0	0	0	0.00132	0	0	0	0.06579	0.01783	0	0.00225	0	0	0	0.03206	0.00841	0	0	0	0.07102	0	0.02334	0.00228	0	0	0.0089	0.01116	0.00882	0.02186	0	0	0	0	0	0.00505	0	0.0061	0	0	0.00163	0.0179	0	0	0.00111	0	0.00515	0.00414	0	0	0.00041	0.00375	0	0.02083	0.02054	0.01394	0	0	0.03936	0	0.21115	0.00617	0	0	0.00486	0	0.03734	0.00415	0	0.00377	0.05583	0	0	0	0	0	0	0.02365	0	0	0.05064	0	0	0.00631	0	0.02839	0	0	0	0.04922	0.00744	0.01429	0	0	0.26149	0.06653	0.05882	0	0	0	0.02007	0	0	0	0	0	0.00141	0	0.00603	0.00143	0.04746	0	0.00527	4e-05	0.00041	0.00754	0.08885	0.06601	0	0.00092	0.0003	0.11464
Streptococcus mitis	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02187	0	0	0	0	0	0	0	0.02443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01017	0	0	0	0	0.03008	0	0	0	0.02957	0	0.00879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02566	0	0	0	0	0	0	0	0	0	0	0.0138	0	0	0	0.01721	0	0	0	0.02464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01607	0	0	0.02251	0	0	0	0	0	0	0.01337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01539	0	0	0	0	0.02167	0	0	0	0	0	0	0	0	0	0	0.0508	0	0	0	0	0	0	0	0	0	0	0	0.12613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0.01419	0	0	0	0	0	0	0	0	0	0	0.35363	0	0	0	0	0.02594	0	0.00264	0.08375	0	0	0	0.00073	0	0	0.19076	0	0	0	0	0	0	0	0	0	0	0	0	0.01024	0.0094	0	0	0	0.01492	0.12732	0	0.00232	0	0.01242	0	0.00455	0.01856	0	0	0	0.01709	0	0.00625	0.00738	0	0	0.02082	0.02905	0.00317	0	0	0	0	0	0	0.04427	0	0.00865	0.0187	0	0.02251	0.01548	0	0	0	0	0.0087	0.00681	0	0	0	0.00267	0	0	0	0	0	0	0.01292	0.00153	0.07025	0.03053	0	0	0.02059	0	0.07447	0	0	0.00784	0.01921	0	0	0	0	0	0	0.01847	0	0	0.05816	0	0	0.00996	0	0.0531	0	0	0	0.0728	0.09128	0.07536	0	0	0.0354	0.10494	0.06796	0	0	0	0.00085	0	0	0	0	0	0.00021	0	0.00038	0.0012	0.01715	0	0.07877	0	0.00642	0.02371	0.00105	0.02207	0.00117	0	0.00142	0.00207
