second_stage_priority	second_stage_reason	run	batch	classified_pct	total_reads	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	top_species	top_species_fraction
1	high_pathogen_fraction	SRR27343959	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.8886	182461	Toxoplasma gondii	0.57596	1926.0	Toxoplasma gondii;Prevotella intermedia;Prevotella oris;Prevotella nigrescens	Toxoplasma gondii	0.57596
1	high_pathogen_fraction	SRR27344010	20260724T170118Z-prjna1056765-production-descriptive-batch-002	1.4564	162595	Toxoplasma gondii	0.55993	1308.0	Toxoplasma gondii	Toxoplasma gondii	0.55993
1	high_pathogen_fraction	SRR27343859	20260724T170118Z-prjna1056765-production-descriptive-batch-001	2.3694	152864	Pseudomonas aeruginosa	0.55608	1998.0	Pseudomonas aeruginosa;Toxoplasma gondii	Pseudomonas aeruginosa	0.55608
1	high_pathogen_fraction	SRR27343798	20260724T170118Z-prjna1056765-production-descriptive-batch-005	1.4269	240738	Toxoplasma gondii	0.5499	1846.0	Toxoplasma gondii;Staphylococcus epidermidis;Candida albicans;[Candida] glabrata	Toxoplasma gondii	0.5499
1	high_pathogen_fraction	SRR27344016	20260724T170118Z-prjna1056765-production-descriptive-batch-004	1.7034	212511	Toxoplasma gondii	0.54746	1857.0	Toxoplasma gondii	Toxoplasma gondii	0.54746
1	high_pathogen_fraction	SRR27343719	20260724T170118Z-prjna1056765-production-descriptive-batch-012	3.4208	403293	Haemophilus influenzae	0.54664	7449.0	Haemophilus influenzae;Toxoplasma gondii;Rothia mucilaginosa;Haemophilus parainfluenzae	Haemophilus influenzae	0.54664
1	high_pathogen_fraction	SRR27343281	20260724T170118Z-prjna1056765-production-descriptive-batch-008	1.1608	302634	Toxoplasma gondii	0.54389	1766.0	Toxoplasma gondii	Toxoplasma gondii	0.54389
1	high_pathogen_fraction	SRR27343588	20260724T170118Z-prjna1056765-production-descriptive-batch-002	1.7655	178480	Toxoplasma gondii	0.53436	1625.0	Toxoplasma gondii	Toxoplasma gondii	0.53436
1	high_pathogen_fraction	SRR27343748	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.693	222450	Toxoplasma gondii	0.53222	1941.0	Toxoplasma gondii	Toxoplasma gondii	0.53222
1	high_pathogen_fraction	SRR27343304	20260724T170118Z-prjna1056765-production-descriptive-batch-013	1.3781	410283	Toxoplasma gondii	0.52789	2962.0	Toxoplasma gondii	Toxoplasma gondii	0.52789
1	high_pathogen_fraction	SRR27344015	20260724T170118Z-prjna1056765-production-descriptive-batch-006	1.367	216021	Toxoplasma gondii	0.52379	1486.0	Toxoplasma gondii;Prevotella melaninogenica;Prevotella jejuni	Toxoplasma gondii	0.52379
1	high_pathogen_fraction	SRR27343357	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.7969	167679	Toxoplasma gondii	0.512	1515.0	Toxoplasma gondii;Burkholderia cenocepacia;Stenotrophomonas maltophilia	Toxoplasma gondii	0.512
1	high_pathogen_fraction	SRR27343292	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.2593	151278	Toxoplasma gondii	0.51063	937.0	Toxoplasma gondii;Acinetobacter nosocomialis;Stenotrophomonas maltophilia	Toxoplasma gondii	0.51063
1	high_pathogen_fraction	SRR27344042	20260724T170118Z-prjna1056765-production-descriptive-batch-006	4.2702	237130	Pseudomonas aeruginosa	0.50828	5094.0	Pseudomonas aeruginosa;Toxoplasma gondii;Streptococcus anginosus	Pseudomonas aeruginosa	0.50828
1	high_pathogen_fraction	SRR27343747	20260724T170118Z-prjna1056765-production-descriptive-batch-004	1.378	233163	Toxoplasma gondii	0.50509	1587.0	Toxoplasma gondii	Toxoplasma gondii	0.50509
1	high_pathogen_fraction	SRR27343346	20260724T170118Z-prjna1056765-production-descriptive-batch-020	7.5459	2545835	Escherichia coli	0.4975	95251.0	Escherichia coli;Haemophilus parainfluenzae;Toxoplasma gondii;Stenotrophomonas maltophilia;Staphylococcus epidermidis	Escherichia coli	0.4975
1	high_pathogen_fraction	SRR27343741	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.2208	175621	Toxoplasma gondii	0.49617	1036.0	Toxoplasma gondii	Toxoplasma gondii	0.49617
1	high_pathogen_fraction	SRR27343803	20260724T170118Z-prjna1056765-production-descriptive-batch-003	0.8845	163377	Toxoplasma gondii	0.48664	692.0	Toxoplasma gondii	Toxoplasma gondii	0.48664
1	high_pathogen_fraction	SRR27343746	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.5117	214070	Toxoplasma gondii	0.48082	1454.0	Toxoplasma gondii;Prevotella melaninogenica;Prevotella jejuni;Prevotella oris	Toxoplasma gondii	0.48082
1	high_pathogen_fraction	SRR27343326	20260724T170118Z-prjna1056765-production-descriptive-batch-006	1.3572	271219	Toxoplasma gondii	0.47672	1720.0	Toxoplasma gondii;Prevotella nigrescens;Prevotella sp. oral taxon 475;Prevotella denticola	Toxoplasma gondii	0.47672
1	high_pathogen_fraction	SRR27343768	20260724T170118Z-prjna1056765-production-descriptive-batch-005	1.7746	249241	Toxoplasma gondii	0.47455	2042.0	Toxoplasma gondii	Toxoplasma gondii	0.47455
1	high_pathogen_fraction	SRR27343322	20260724T170118Z-prjna1056765-production-descriptive-batch-008	1.1063	289964	Toxoplasma gondii	0.47125	1467.0	Toxoplasma gondii	Homo sapiens	0.48378
1	high_pathogen_fraction	SRR27343937	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.9468	142230	Pseudomonas aeruginosa	0.47016	1292.0	Pseudomonas aeruginosa;Toxoplasma gondii;Mycobacteroides abscessus	Pseudomonas aeruginosa	0.47016
1	high_pathogen_fraction	SRR27343315	20260724T170118Z-prjna1056765-production-descriptive-batch-004	1.3409	215819	Toxoplasma gondii	0.46955	1326.0	Toxoplasma gondii;Prevotella melaninogenica;Prevotella veroralis	Toxoplasma gondii	0.46955
1	high_pathogen_fraction	SRR27343860	20260724T170118Z-prjna1056765-production-descriptive-batch-005	1.6144	244117	Toxoplasma gondii	0.46905	1796.0	Toxoplasma gondii	Toxoplasma gondii	0.46905
1	high_pathogen_fraction	SRR27343501	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.33	255718	Toxoplasma gondii	0.46874	1582.0	Toxoplasma gondii	Toxoplasma gondii	0.46874
1	high_pathogen_fraction	SRR27343993	20260724T170118Z-prjna1056765-production-descriptive-batch-016	4.4119	664745	Staphylococcus aureus	0.46253	13382.0	Staphylococcus aureus;Toxoplasma gondii;Prevotella jejuni;Prevotella melaninogenica;Rothia mucilaginosa	Staphylococcus aureus	0.46253
1	high_pathogen_fraction	SRR27343223	20260724T170118Z-prjna1056765-production-descriptive-batch-010	0.9175	343961	Toxoplasma gondii	0.46215	1398.0	Toxoplasma gondii	Homo sapiens	0.50678
1	high_pathogen_fraction	SRR27344034	20260724T170118Z-prjna1056765-production-descriptive-batch-013	1.0496	386423	Toxoplasma gondii	0.46048	1812.0	Toxoplasma gondii;Prevotella jejuni;Prevotella intermedia	Toxoplasma gondii	0.46048
1	high_pathogen_fraction	SRR27343744	20260724T170118Z-prjna1056765-production-descriptive-batch-012	1.3475	410543	Burkholderia cenocepacia	0.45745	2494.0	Burkholderia cenocepacia;Toxoplasma gondii;Burkholderia aenigmatica;Burkholderia cepacia;Burkholderia contaminans	Burkholderia cenocepacia	0.45745
1	high_pathogen_fraction	SRR27343785	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.3131	209197	Toxoplasma gondii	0.45724	1235.0	Toxoplasma gondii;Enterococcus faecium;Staphylococcus hominis	Toxoplasma gondii	0.45724
1	high_pathogen_fraction	SRR27343769	20260724T170118Z-prjna1056765-production-descriptive-batch-005	2.7141	234925	Pseudomonas aeruginosa	0.457	2774.0	Pseudomonas aeruginosa;Toxoplasma gondii;Streptococcus salivarius;Prevotella denticola;Prevotella nigrescens	Pseudomonas aeruginosa	0.457
1	high_pathogen_fraction	SRR27343786	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.1457	164091	Toxoplasma gondii	0.45435	841.0	Toxoplasma gondii	Homo sapiens	0.54511
1	high_pathogen_fraction	SRR27343296	20260724T170118Z-prjna1056765-production-descriptive-batch-010	1.859	368961	Staphylococcus haemolyticus	0.45383	3067.0	Staphylococcus haemolyticus;Toxoplasma gondii;Enterococcus faecium	Staphylococcus haemolyticus	0.45383
1	high_pathogen_fraction	SRR27343715	20260724T170118Z-prjna1056765-production-descriptive-batch-019	0.4271	1199102	Pseudomonas aeruginosa	0.45045	2259.0	Pseudomonas aeruginosa;Toxoplasma gondii;Stenotrophomonas maltophilia	Pseudomonas aeruginosa	0.45045
1	high_pathogen_fraction	SRR27343711	20260724T170118Z-prjna1056765-production-descriptive-batch-011	1.8117	369933	Toxoplasma gondii	0.44987	2984.0	Toxoplasma gondii;Prevotella melaninogenica;Prevotella intermedia;Prevotella jejuni	Toxoplasma gondii	0.44987
1	high_pathogen_fraction	SRR27343831	20260724T170118Z-prjna1056765-production-descriptive-batch-010	0.8869	329571	Toxoplasma gondii	0.44499	1278.0	Toxoplasma gondii	Homo sapiens	0.49199
1	high_pathogen_fraction	SRR27343751	20260724T170118Z-prjna1056765-production-descriptive-batch-009	1.1794	301416	Toxoplasma gondii	0.44329	1540.0	Toxoplasma gondii	Homo sapiens	0.54088
1	high_pathogen_fraction	SRR27343855	20260724T170118Z-prjna1056765-production-descriptive-batch-015	1.316	446414	Pseudomonas aeruginosa	0.4429	2579.0	Pseudomonas aeruginosa;Toxoplasma gondii	Pseudomonas aeruginosa	0.4429
1	high_pathogen_fraction	SRR27343528	20260724T170118Z-prjna1056765-production-descriptive-batch-001	2.2968	153344	Toxoplasma gondii	0.44269	1348.0	Toxoplasma gondii	Toxoplasma gondii	0.44269
