kind	minimum_prevalence_fraction	minimum_samples	retained_unstratified_features
genefamilies	0.1	3	25824
pathabundance	0.1	3	296
pathcoverage	0.1	3	204
genefamilies	0.2	6	809
pathabundance	0.2	6	210
pathcoverage	0.2	6	150
genefamilies	0.3	9	216
pathabundance	0.3	9	153
pathcoverage	0.3	9	117
