run_accession	experiment_accession	biosample	sra_sample	sample_alias	submitted_sample_name	library_name	group_phenotype_fields	platform	layout	read_length_nt	spots	bases	sra_size_mib	compressed_bytes_ena_fastq	download_url	fastq_md5	host_depletion_status	source
SRR24785323	SRX20557899	SAMN35536919	SRS17863943	N100019477_L01_7.fq.gz	N100019477_L01_7.fq.gz	L669	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22237839	1111891950	952	510211070	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/023/SRR24785323/SRR24785323.fastq.gz	3b67bbf77f41ddae1f5457caa2ec8de1	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785324	SRX20557898	SAMN35536918	SRS17863947	N100019477_L01_32.fq.gz	N100019477_L01_32.fq.gz	L668	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	21459656	1072982800	932	492237077	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/024/SRR24785324/SRR24785324.fastq.gz	217a82adb1dd418adedc4f61009d84a1	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785325	SRX20557897	SAMN35536917	SRS17863936	N100019477_L01_30.fq.gz	N100019477_L01_30.fq.gz	L667	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	17082370	854118500	760	392678438	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/025/SRR24785325/SRR24785325.fastq.gz	15555f5ce0d7d5f891cc601b722caf17	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785326	SRX20557896	SAMN35536916	SRS17863942	N100019477_L01_28.fq.gz	N100019477_L01_28.fq.gz	L666	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	21583165	1079158250	938	494223902	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/026/SRR24785326/SRR24785326.fastq.gz	f8d3d3b687550ff1b4f91eaf5626b380	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785327	SRX20557895	SAMN35536915	SRS17863941	N100019477_L01_26.fq.gz	N100019477_L01_26.fq.gz	L665	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	24929991	1246499550	1083	569924805	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/027/SRR24785327/SRR24785327.fastq.gz	6e8b583b5113eda2b5a5a902ace91406	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785328	SRX20557894	SAMN35536914	SRS17863938	N100019477_L01_22.fq.gz	N100019477_L01_22.fq.gz	L664	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	27346482	1367324100	1193	623966742	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/028/SRR24785328/SRR24785328.fastq.gz	feef1a07f76e32bd091eda15fee0e585	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785329	SRX20557893	SAMN35536913	SRS17863940	N100019477_L01_18.fq.gz	N100019477_L01_18.fq.gz	L663	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22206502	1110325100	979	506346587	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/029/SRR24785329/SRR24785329.fastq.gz	dcaff0c0c8c8332a16c53c079d41611f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785330	SRX20557892	SAMN35536912	SRS17863935	N100019477_L01_11.fq.gz	N100019477_L01_11.fq.gz	L662	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	33930094	1696504700	1489	771314491	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/030/SRR24785330/SRR24785330.fastq.gz	3154c5e3d3ddd0e00b0d728de13440fc	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785331	SRX20557891	SAMN35536911	SRS17863937	N100019463_L01_5.fq.gz	N100019463_L01_5.fq.gz	L661	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	44973341	2248667050	1902	1016112259	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/031/SRR24785331/SRR24785331.fastq.gz	cf2320850bf5ddb6f9d7066a543fe70b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785332	SRX20557890	SAMN35536317	SRS17863939	P100002561_L04_21.fq.gz	P100002561_L04_21.fq.gz	L67	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22995249	1149762450	1070	522014107	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/032/SRR24785332/SRR24785332.fastq.gz	56927f5b3df291eb0d57b677f6896322	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785333	SRX20557889	SAMN35536910	SRS17863933	N100019462_L01_6.fq.gz	N100019462_L01_6.fq.gz	L660	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	32893354	1644667700	1447	749097829	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/033/SRR24785333/SRR24785333.fastq.gz	875dfce4ff5ee3357a8e8bf79b7b05c6	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785334	SRX20557888	SAMN35536909	SRS17863931	N100019462_L01_11.fq.gz	N100019462_L01_11.fq.gz	L659	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22397914	1119895700	985	513221422	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/034/SRR24785334/SRR24785334.fastq.gz	9c9417a06a45eee436d1172a44371052	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785335	SRX20557887	SAMN35536908	SRS17863934	N100019462_L01_10.fq.gz	N100019462_L01_10.fq.gz	L658	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	25331800	1266590000	1099	576764850	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/035/SRR24785335/SRR24785335.fastq.gz	952e55cb2e208e9d23b400a49759c4f7	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785336	SRX20557886	SAMN35536907	SRS17863930	N100019462_L01_8.fq.gz	N100019462_L01_8.fq.gz	L657	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	19885716	994285800	871	454583372	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/036/SRR24785336/SRR24785336.fastq.gz	739ab6fa1b2893285d19a0183c1b039c	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785337	SRX20557885	SAMN35536906	SRS17863926	N100019462_L01_5.fq.gz	N100019462_L01_5.fq.gz	L656	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22208073	1110403650	963	508819010	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/037/SRR24785337/SRR24785337.fastq.gz	3a6ae95a0c5769878ed735155f8e5d17	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
