run_accession	experiment_accession	biosample	sra_sample	sample_alias	submitted_sample_name	library_name	group_phenotype_fields	platform	layout	read_length_nt	spots	bases	sra_size_mib	compressed_bytes_ena_fastq	download_url	fastq_md5	host_depletion_status	source
SRR24784644	SRX20557860	SAMN35536430	SRS17863906	2234042380112_C1T.unhost.fq.gz	2234042380112_C1T.unhost.fq.gz	L180	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	26564740	1062589600	479	554495924	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24784644/SRR24784644.fastq.gz	e2e85714eb682fdfab63bdd34e2d188c	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784645	SRX20557859	SAMN35536429	SRS17863907	2234042380105_C1T.unhost.fq.gz	2234042380105_C1T.unhost.fq.gz	L179	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	721385	28855400	13	17805851	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24784645/SRR24784645.fastq.gz	d972dacfc8d3fe290dc711ac667d2cda	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784646	SRX20557858	SAMN35536428	SRS17863902	2234042380099_C1T.unhost.fq.gz	2234042380099_C1T.unhost.fq.gz	L178	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1033518	41340720	18	25284759	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24784646/SRR24784646.fastq.gz	430b90e6d840ade78235804df281c07c	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784647	SRX20557857	SAMN35536427	SRS17863900	2234042380075_C1T.unhost.fq.gz	2234042380075_C1T.unhost.fq.gz	L177	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1633797	65351880	29	39163339	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/047/SRR24784647/SRR24784647.fastq.gz	2019ccbdc97594d98692864a8f8e677b	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784648	SRX20557856	SAMN35536426	SRS17863903	2234042380068_C1T.unhost.fq.gz	2234042380068_C1T.unhost.fq.gz	L176	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1146897	45875880	20	28067744	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24784648/SRR24784648.fastq.gz	033928cd41f0230eb8cad114893b5487	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784649	SRX20557855	SAMN35536425	SRS17863897	2234042380013_C1T.unhost.fq.gz	2234042380013_C1T.unhost.fq.gz	L175	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	2711792	108471680	47	64677982	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24784649/SRR24784649.fastq.gz	a5158c0fd0843b2a5bf56c5bec0825f4	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784650	SRX20557854	SAMN35536424	SRS17863901	2234042152870_C1D.unhost.fq.gz	2234042152870_C1D.unhost.fq.gz	L174	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	719710	28788400	13	17772396	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/050/SRR24784650/SRR24784650.fastq.gz	b9af525c9e88447e8062b0312880117a	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784651	SRX20557853	SAMN35536423	SRS17863895	2234042152788_C1D.unhost.fq.gz	2234042152788_C1D.unhost.fq.gz	L173	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1581669	63266760	27	38411663	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24784651/SRR24784651.fastq.gz	2f1ff1cdc6ec20ee5f0dfff0d1255e61	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784652	SRX20557852	SAMN35536422	SRS17863899	2234042152771_C1D.unhost.fq.gz	2234042152771_C1D.unhost.fq.gz	L172	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	6818110	272724400	116	163275202	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24784652/SRR24784652.fastq.gz	2aaedc55d3094d7ed66e5b4b9df89394	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784653	SRX20557851	SAMN35536421	SRS17863894	2234042152559_C1T.unhost.fq.gz	2234042152559_C1T.unhost.fq.gz	L171	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	4196724	167868960	72	95644001	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/053/SRR24784653/SRR24784653.fastq.gz	0eba4958835a8922932f8518afb2a1f2	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784654	SRX20557850	SAMN35536268	SRS17863898	V300094685_L01_27.fq.gz	V300094685_L01_27.fq.gz	L18	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	65889429	3294471450	2787	1513292400	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/054/SRR24784654/SRR24784654.fastq.gz	644b75ea57544a149d458a61340be58f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784655	SRX20557849	SAMN35536420	SRS17863896	2234042152535_C1T.unhost.fq.gz	2234042152535_C1T.unhost.fq.gz	L170	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	5405635	216225400	94	126680103	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/055/SRR24784655/SRR24784655.fastq.gz	3a7b6fcd91e5503a540d1d8f44690e27	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784656	SRX20557848	SAMN35536419	SRS17863893	2234042152528_C1T.unhost.fq.gz	2234042152528_C1T.unhost.fq.gz	L169	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	10662847	426513880	186	241376571	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/056/SRR24784656/SRR24784656.fastq.gz	3af3fc24fb16e6acc60309c226a3af8e	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784657	SRX20557566	SAMN35536418	SRS17863610	2234042152511_C1T.unhost.fq.gz	2234042152511_C1T.unhost.fq.gz	L168	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	5616137	224645480	99	134681147	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/057/SRR24784657/SRR24784657.fastq.gz	1eca22d341c158e20e432c4dba0a7af0	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784658	SRX20557846	SAMN35536709	SRS17863889	N100018724_L01_29.fq.gz	N100018724_L01_29.fq.gz	L459	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	29512702	1475635100	1272	677440719	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/058/SRR24784658/SRR24784658.fastq.gz	71b76604743731b2ca496389756a092b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784659	SRX20557845	SAMN35536708	SRS17863892	N100018696_L01_5.fq.gz	N100018696_L01_5.fq.gz	L458	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	41247623	2062381150	1632	935648574	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/059/SRR24784659/SRR24784659.fastq.gz	56c9341d3afbea3951c548c0ac1e36aa	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784660	SRX20557844	SAMN35536707	SRS17863887	N100018696_L01_4.fq.gz	N100018696_L01_4.fq.gz	L457	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	55092653	2754632650	2231	1239741366	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/060/SRR24784660/SRR24784660.fastq.gz	e90ea414c4249f3e2bbb3a5adeef54ed	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784661	SRX20557843	SAMN35536706	SRS17863888	N100018663_L01_8.fq.gz	N100018663_L01_8.fq.gz	L456	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	35570280	1778514000	1478	807771410	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/061/SRR24784661/SRR24784661.fastq.gz	34adc8f548a21961a6ab2b38d4d91d29	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784662	SRX20557842	SAMN35536705	SRS17863890	N100018663_L01_6.fq.gz	N100018663_L01_6.fq.gz	L455	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	39721916	1986095800	1671	906869544	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/062/SRR24784662/SRR24784662.fastq.gz	950af613c9b779644d59298ebcb5fe1b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784663	SRX20557841	SAMN35536704	SRS17863885	N100018663_L01_5.fq.gz	N100018663_L01_5.fq.gz	L454	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	20683568	1034178400	862	476067538	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/063/SRR24784663/SRR24784663.fastq.gz	6a5753615701000c1ce4ddc92e3fa125	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784664	SRX20557840	SAMN35536703	SRS17863886	N100018663_L01_4.fq.gz	N100018663_L01_4.fq.gz	L453	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	31659638	1582981900	1340	723240542	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/064/SRR24784664/SRR24784664.fastq.gz	c76498b00d737bf3e9f8e868448e42ba	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784665	SRX20557839	SAMN35536702	SRS17863881	N100018637_L01_31.fq.gz	N100018637_L01_31.fq.gz	L452	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	18270225	913511250	755	417076331	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/065/SRR24784665/SRR24784665.fastq.gz	195640f7745f80ac243a001489edbc54	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784666	SRX20557838	SAMN35536701	SRS17863884	N100018637_L01_29.fq.gz	N100018637_L01_29.fq.gz	L451	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	36205898	1810294900	1454	823081703	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/066/SRR24784666/SRR24784666.fastq.gz	db8b9a9fbddd91b9271b41a1db9eaa93	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784667	SRX20557837	SAMN35536296	SRS17863880	V300035271_L04_27.fq.gz	V300035271_L04_27.fq.gz	L46	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	33501012	1675050600	1436	769325620	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/067/SRR24784667/SRR24784667.fastq.gz	89af173ff5a03bdc22663610688b2703	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784668	SRX20557836	SAMN35536700	SRS17863882	N100018637_L01_25.fq.gz	N100018637_L01_25.fq.gz	L450	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	41357009	2067850450	1662	938705380	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/068/SRR24784668/SRR24784668.fastq.gz	557e9758133bce90fba647848bb3f785	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784669	SRX20557835	SAMN35536699	SRS17863883	N100018637_L01_20.fq.gz	N100018637_L01_20.fq.gz	L449	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	27936026	1396801300	1148	641111440	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/069/SRR24784669/SRR24784669.fastq.gz	264875683368e72b91e2747ad2819a86	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784670	SRX20557834	SAMN35536698	SRS17863879	N100018637_L01_17.fq.gz	N100018637_L01_17.fq.gz	L448	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	27357739	1367886950	1103	623443799	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/070/SRR24784670/SRR24784670.fastq.gz	4d9ff53dde5a50ba82a7b83384a36261	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784671	SRX20557833	SAMN35536697	SRS17863878	N100018637_L01_16.fq.gz	N100018637_L01_16.fq.gz	L447	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	21703643	1085182150	866	495012447	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/071/SRR24784671/SRR24784671.fastq.gz	2638f14bee9d0ca42b07e16aebcbd9a4	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784672	SRX20557832	SAMN35536696	SRS17863877	N100018637_L01_15.fq.gz	N100018637_L01_15.fq.gz	L446	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23843044	1192152200	973	542037592	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/072/SRR24784672/SRR24784672.fastq.gz	fbea8b63784edca1650279e6e96fde79	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784673	SRX20557831	SAMN35536695	SRS17863875	N100018633_L01_28.fq.gz	N100018633_L01_28.fq.gz	L445	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	36859258	1842962900	1512	835781895	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/073/SRR24784673/SRR24784673.fastq.gz	56a2ba87d8b00418451f6a47f6f942d7	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784674	SRX20557830	SAMN35536694	SRS17863873	N100018633_L01_26.fq.gz	N100018633_L01_26.fq.gz	L444	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	29463575	1473178750	1220	672794573	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/074/SRR24784674/SRR24784674.fastq.gz	d4c6f08a84f9ed7b543875d3fa766310	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784675	SRX20557829	SAMN35536693	SRS17863876	N100018633_L01_22.fq.gz	N100018633_L01_22.fq.gz	L443	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	71963535	3598176750	2908	1610629144	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/075/SRR24784675/SRR24784675.fastq.gz	d36c8e9da19f400a997f1318cdaa9e04	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784676	SRX20557828	SAMN35536692	SRS17863871	N100018631_L01_20.fq.gz	N100018631_L01_20.fq.gz	L442	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	56751727	2837586350	2345	1279200892	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/076/SRR24784676/SRR24784676.fastq.gz	13e81fb85087a73aecd1ceaf1dac39bd	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784677	SRX20557827	SAMN35536691	SRS17863874	N100018631_L01_17.fq.gz	N100018631_L01_17.fq.gz	L441	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	49599937	2479996850	1996	1114663461	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/077/SRR24784677/SRR24784677.fastq.gz	c31acdc5da14dae85021db490df8e577	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784678	SRX20557826	SAMN35536295	SRS17863870	P100003225_L02_15.fq.gz	P100003225_L02_15.fq.gz	L45	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	38769894	1938494700	1830	810373438	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/078/SRR24784678/SRR24784678.fastq.gz	82b4863609751fc78e8d37587caab323	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784679	SRX20557825	SAMN35536690	SRS17863872	N100018631_L01_16.fq.gz	N100018631_L01_16.fq.gz	L440	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	38057736	1902886800	1509	865966335	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/079/SRR24784679/SRR24784679.fastq.gz	3c81ab7f758ec2e452145e1fc417f02b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784680	SRX20557824	SAMN35536689	SRS17863868	N100018627_L01_28.fq.gz	N100018627_L01_28.fq.gz	L439	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	31204273	1560213650	1237	711082231	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/080/SRR24784680/SRR24784680.fastq.gz	03fc9ae78a9322d21c09fa0dbd5c5f5a	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784681	SRX20557823	SAMN35536688	SRS17863869	N100018627_L01_26.fq.gz	N100018627_L01_26.fq.gz	L438	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	32377097	1618854850	1281	738132720	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/081/SRR24784681/SRR24784681.fastq.gz	71aba1b76196fd64414bfcf76f840803	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784682	SRX20557822	SAMN35536687	SRS17863867	N100018627_L01_22.fq.gz	N100018627_L01_22.fq.gz	L437	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	66820871	3341043550	2614	1499705063	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/082/SRR24784682/SRR24784682.fastq.gz	87cf2735a9e7637db5880374b5ed9d8f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784683	SRX20557821	SAMN35536686	SRS17863865	N100018612_L01_7.fq.gz	N100018612_L01_7.fq.gz	L436	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	37919265	1895963250	1574	861755992	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/083/SRR24784683/SRR24784683.fastq.gz	af8f9980ee7c501bb3d3464e3267dab3	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784684	SRX20557820	SAMN35536685	SRS17863866	N100018612_L01_32.fq.gz	N100018612_L01_32.fq.gz	L435	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	39098798	1954939900	1656	888632929	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/084/SRR24784684/SRR24784684.fastq.gz	10ac81205d5fd3d54e15b24e717eade5	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784685	SRX20557819	SAMN35536684	SRS17863863	N100018612_L01_30.fq.gz	N100018612_L01_30.fq.gz	L434	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23390941	1169547050	1003	537454771	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/085/SRR24784685/SRR24784685.fastq.gz	ed1d4f9d524c252deedccaf8c811e175	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784686	SRX20557818	SAMN35536683	SRS17863862	N100018610_L01_11.fq.gz	N100018610_L01_11.fq.gz	L433	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	36130737	1806536850	1467	823403329	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/086/SRR24784686/SRR24784686.fastq.gz	4fcda423092657a2cc7bd9205cddd84d	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784687	SRX20557817	SAMN35536682	SRS17863864	N100018610_L01_6.fq.gz	N100018610_L01_6.fq.gz	L432	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	39695980	1984799000	1608	899381230	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/087/SRR24784687/SRR24784687.fastq.gz	1e11040e693269a0ead852e764ebd08e	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784688	SRX20557816	SAMN35536681	SRS17863860	N100018610_L01_5.fq.gz	N100018610_L01_5.fq.gz	L431	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	13960081	698004050	551	321038726	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/088/SRR24784688/SRR24784688.fastq.gz	96ccb120dc08d7ec39306fea99e218ee	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784689	SRX20557815	SAMN35536294	SRS17863858	V300081129_L03_15.fq.gz	V300081129_L03_15.fq.gz	L44	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	32798521	1639926050	1467	746686517	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/089/SRR24784689/SRR24784689.fastq.gz	5ded6877afda2e3d4a042f54bbb68bb7	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784690	SRX20557814	SAMN35536680	SRS17863857	N100018610_L01_4.fq.gz	N100018610_L01_4.fq.gz	L430	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	27941187	1397059350	1143	635902697	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/090/SRR24784690/SRR24784690.fastq.gz	13cdaed45e5ce59a1af126f85fee719f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784691	SRX20557813	SAMN35536679	SRS17863861	N100018606_L01_8.fq.gz	N100018606_L01_8.fq.gz	L429	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	37019851	1850992550	1501	840193133	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/091/SRR24784691/SRR24784691.fastq.gz	374a8daca5166ed18c71c7f205f1caa8	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784692	SRX20557812	SAMN35536678	SRS17863859	N100018606_L01_6.fq.gz	N100018606_L01_6.fq.gz	L428	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	26910434	1345521700	1122	617460199	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/092/SRR24784692/SRR24784692.fastq.gz	2dda5c19d9e3fc088c793940effa7d5e	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784693	SRX20557710	SAMN35536677	SRS17863754	N100018606_L01_5.fq.gz	N100018606_L01_5.fq.gz	L427	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	37851491	1892574550	1513	861027423	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/093/SRR24784693/SRR24784693.fastq.gz	92a70c33f8079796ba8dd32787f89ec3	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784694	SRX20557810	SAMN35536806	SRS17863854	N100019121_L01_15.fq.gz	N100019121_L01_15.fq.gz	L556	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	32082993	1604149650	1358	727154315	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/094/SRR24784694/SRR24784694.fastq.gz	557127a7246e431ae8f79436385c6fd5	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784695	SRX20557809	SAMN35536805	SRS17863855	N100019116_L01_4.fq.gz	N100019116_L01_4.fq.gz	L555	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	46129769	2306488450	2022	1041730739	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/095/SRR24784695/SRR24784695.fastq.gz	9f8055f99bc0889257690603bd95e89b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
