file	read_length_nt	size_bytes	mtime_epoch
database100mers.kmer_distrib	100	4527123	1670384493
database150mers.kmer_distrib	150	4414680	1670399006
database200mers.kmer_distrib	200	4218078	1670415798
database250mers.kmer_distrib	250	3985555	1670435699
database300mers.kmer_distrib	300	3736366	1670457398
database50mers.kmer_distrib	50	4309456	1670362055
database75mers.kmer_distrib	75	4481805	1670372308
